horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,num_valid_points
3,66.29822035238776,78.33953103674916,-1.4297002129240148,0.07617859730607683,0.07253300711916007,8871.613118489584,8871.613118489584,8871.613118489584,71.0
6,73.50821242966019,85.34051832995597,-1.632937338243925,0.08371142662720096,0.07942922534983372,9844.011393229166,9844.011393229166,9844.011393229166,143.0
10,91.90262440956786,104.44803440566085,-2.3555582041283283,0.10355692379949544,0.09726699602136608,12311.0244140625,12311.0244140625,12311.0244140625,239.0
