horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,51.972,59.688,-0.410,0.059,0.057,7.129,7.129,7.129,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,63.462,72.725,-0.912,0.072,0.069,8.732,8.732,8.732,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,80.245,91.282,-1.563,0.090,0.085,11.130,11.130,11.130,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
