horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,num_valid_points
3,66.29822207168795,78.33953383284063,-1.4297003863655475,0.07617859947117651,0.07253300897896699,8871.61279296875,8871.61279296875,8871.61279296875,71.0
6,73.50821456375655,85.34052097926279,-1.6329375017174805,0.08371142925059119,0.07942922767970637,9844.01171875,9844.01171875,9844.01171875,143.0
10,91.90262747409453,104.44803798584458,-2.3555584341664546,0.10355692750438389,0.09726699926979611,12311.025065104166,12311.025065104166,12311.025065104166,239.0
