epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,val_official_score_h10,val_official_score_h3,val_official_score_h6
1,0.6317455156928017,0.4845076406493856,207.92274477519396,284.36227982117623,0.386318428770544,26.243420420280785,217.22441131636535,295.29001826666337,0.33695875949734544,27.514228178996806,225.87958005147632,306.16329855965375,0.2857677213242138,28.502997923927218,28.502997923927218,True,0,0.001,131.02529250003863,0.6317455156928017,,,,,,,,,,9,20,9,20,29,28.502997923927218,26.243420420280785,27.514228178996806
2,0.5164014040714219,0.37112088950139843,166.1229850331026,241.19574027083627,0.5584922068428337,19.11856012482576,175.0698008599152,253.15921097978278,0.512661776947338,20.41823744005539,185.67646204672502,267.3278126656994,0.45547038194041456,21.774694653138113,21.774694653138113,True,0,0.001,128.93677380000008,0.5164014040714219,,,,,,,,,,9,20,18,40,58,21.774694653138113,19.11856012482576,20.41823744005539
3,0.4846088281699589,0.36069702913094626,159.78291485520919,232.86128615908478,0.5884774002618594,18.28480567728845,170.0769850258266,246.76364016983362,0.5369740356726371,19.692435096443198,181.40481105975522,261.75601838335234,0.47793260729243814,21.132609455910867,21.132609455910867,True,0,0.001,130.8108505999553,0.4846088281699589,,,,,,,,,,9,20,27,60,87,21.132609455910867,18.28480567728845,19.692435096443198
4,0.4723429506733304,0.3421266704907852,150.16982346739218,219.71093818392814,0.6336447125454181,16.83657994257232,161.68657962755745,235.11659139031948,0.5796514415567393,18.394982576953684,174.36212658110804,251.716635574268,0.5172113475661955,20.01132557415616,20.01132557415616,True,0,0.001,131.32306010002503,0.4723429506733304,,,,,,,,,,9,20,36,80,116,20.01132557415616,16.83657994257232,18.394982576953684
5,0.4622081296784537,0.3126010340477886,144.89169418950112,213.36035937427485,0.6545170850962967,15.019383767441157,155.62907135495274,229.48401478024658,0.5995503790597776,16.531529587501698,168.10530869680582,246.9773726730017,0.5352198736114672,18.197690042021964,18.197690042021964,True,0,0.001,126.82008049997967,0.4622081296784537,,,,,,,,,,9,20,45,100,145,18.197690042021964,15.019383767441157,16.531529587501698
6,0.4507988638111523,0.31552938690289783,151.89404009940097,223.35170279094984,0.6214025867091364,15.186222000120024,162.05758374625074,238.99565138674976,0.5656668213810914,16.66495061344649,173.94497270567933,255.8880146482274,0.5010774807608753,18.317706796283826,18.317706796283826,False,1,0.001,123.42513639997924,0.4507988638111523,,,,,,,,,,9,20,54,120,174,18.317706796283826,15.186222000120024,16.66495061344649
7,0.4485378425036158,0.3070280851585231,142.57295890525248,208.99523209794785,0.6685089069197516,14.772582734735874,152.94109745417202,225.20330655898016,0.6143507118125774,16.245850648790412,165.06487049484707,242.84732118570346,0.5506343706484758,17.879215246332357,17.879215246332357,True,1,0.001,123.29269360000035,0.4485378425036158,,,,,,,,,,9,20,63,140,203,17.879215246332357,14.772582734735874,16.245850648790412
8,0.43823022281839735,0.3191140762580733,150.932030432315,222.22216845625545,0.6252221900029287,15.369358761979063,162.04198445732362,238.89184997423848,0.5660440216069064,16.90789504468842,174.32612519188348,256.0550261685505,0.5004260004570298,18.571461643940417,18.571461643940417,False,1,0.001,125.74403329996858,0.43823022281839735,,,,,,,,,,9,20,72,160,232,18.571461643940417,15.369358761979063,16.90789504468842
9,0.4332821360656193,0.317639038443859,150.65526898970336,220.70089483281382,0.6303358840077247,15.22248071950301,161.8918583791213,237.59770950711078,0.5707329955057466,16.775808107181824,174.49652038481804,255.24343848764317,0.5035878642099999,18.47339125653482,18.47339125653482,False,2,0.001,121.48264690005453,0.4332821360656193,,,,,,,,,,9,20,81,180,261,18.47339125653482,15.22248071950301,16.775808107181824
10,0.4238358232946623,0.30747207578528546,146.88614647477647,208.40001779715462,0.6703943783941144,14.610696840766595,157.74827717149347,225.38988664338675,0.6137114291586357,16.134210960125273,170.18351459524575,243.65958531693508,0.5476233100032284,17.83210613313711,17.83210613313711,True,2,0.001,120.69115230004536,0.4238358232946623,,,,,,,,,,9,20,90,200,290,17.83210613313711,14.610696840766595,16.134210960125273
11,0.4182912331251871,0.3131038732551442,151.25565952396474,216.3711251492305,0.6446979496450486,14.89807578482133,162.1957431247171,233.6926267324259,0.584727637311468,16.41423374682496,174.59445767500122,252.00971639344007,0.5160864440223583,18.120592579692858,18.120592579692858,False,1,0.001,119.51716720004333,0.4182912331251871,,,,,,,,,,9,20,99,220,319,18.120592579692858,14.89807578482133,16.41423374682496
12,0.4128806280238288,0.350640636102613,164.73657499029915,233.59818346540723,0.5858687251793555,17.159426400828522,176.8738038288868,250.4033401525812,0.5232142752544432,18.76177371340302,189.40273493995593,267.01396404729314,0.45674821043525204,20.42406620597519,20.42406620597519,False,2,0.001,122.30288120004116,0.4128806280238288,,,,,,,,,,9,20,108,240,348,20.42406620597519,17.159426400828522,18.76177371340302
13,0.40746723136731555,0.36394306167666546,164.90975733239836,230.60945026317273,0.596398001741525,18.00773696625701,177.12735007302277,247.39014205090288,0.5346199215559906,19.62794396918816,189.62179103415565,263.93656282554855,0.4691982690194808,21.2640752070733,21.2640752070733,False,3,0.001,123.57903970003827,0.40746723136731555,,,,,,,,,,9,20,117,260,377,21.2640752070733,18.00773696625701,19.62794396918816
