epoch,train_loss,val_loss,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches,skipped_val_batches,skipped_all_invalid_batches,site_loss,skipped_all_invalid_batch,val_granularity_loss_h10,val_granularity_loss_h3,val_granularity_loss_h6,val_granularity_weight_h10,val_granularity_weight_h3,val_granularity_weight_h6,val_site_loss,val_site_weight_max,val_site_weight_mean,val_site_weight_min,val_skipped_all_invalid_batch
1,0.15993349746401822,-0.0993295884427597,0.15993349746401822,0.18097297985409722,0.19871916557755767,0.2218738222406024,1.1144697172301157,1.1135006126903353,1.1131066055524916,1.0000939130783082,1.3610067742211478,0.7111086252189818,9,1,10,0.22586864678277857,0.0,0.09281475063553958,0.06715312500853303,0.07866841418457762,1.2410401105880737,1.2440569400787354,1.242208480834961,0.09462988750903674,1.4470223188400269,1.0000001192092896,0.6411073803901672,0.0
2,-0.10958132962917998,-0.3203914172525676,-0.10958132962917998,0.10604895534590957,0.1299222138260255,0.15795324916640918,1.3870389961061023,1.3833989415849959,1.3812135861033485,1.0000798724946522,1.343795827456883,0.6901993331455049,9,1,20,0.1612487219451439,0.0,0.07792995864841736,0.04431724869909714,0.06013600965786093,1.5308091640472412,1.5421814918518066,1.536548137664795,0.07885935031896774,1.2468420267105103,1.0,0.6767606735229492,0.0
3,-0.30177995888959797,-0.504156913678601,-0.30177995888959797,0.09143926838689158,0.11681245090038868,0.1460421422496438,1.7148144949050177,1.7055927055222648,1.6965862171990531,1.0000945999508812,1.3639364554768516,0.6972191413243611,9,1,30,0.14922718932586057,0.0,0.07768600637462202,0.04584635461390651,0.0602294879807335,1.8729432821273804,1.9020384550094604,1.888974905014038,0.07920986685445006,1.2548366785049438,1.0,0.675531804561615,0.0
4,-0.4699887667738256,-0.6828263058977307,-0.4699887667738256,0.08626986006230258,0.11184199170418904,0.141675842659814,2.109311086223239,2.089829769020989,2.066391292640141,1.0000997580233075,1.3633005295481,0.6966915476889838,9,1,40,0.14487559512434972,0.0,0.07574465750048887,0.043620392091501994,0.05809901876568373,2.270796775817871,2.3324713706970215,2.306030511856079,0.07730971534631022,1.3192640542984009,1.0,0.6541873812675476,0.0
5,-0.6235478070875009,-0.8394043884187374,-0.6235478070875009,0.08290104533247115,0.10852599530770447,0.13843558015567917,2.5795329207465763,2.542073046593439,2.493573774610247,1.0000963767369588,1.371724233740852,0.6951706312951588,9,1,50,0.1416678086189287,0.0,0.0773965369663992,0.04604428444707872,0.0601620219454591,2.726580858230591,2.8438398838043213,2.794078826904297,0.07904187729362538,1.2905733585357666,1.0,0.6530564427375793,0.0
6,-0.7609648068391142,-0.9944241693559682,-0.7609648068391142,0.08065901546066172,0.10627893847747567,0.13618347117943422,3.1348902668271745,3.0667523270561583,2.9766687143416632,1.0000880862985337,1.3716423187937055,0.6963633372670128,9,1,60,0.13938565138017847,0.0,0.07576034772034101,0.04397070601600099,0.05843330691524623,3.2373006343841553,3.445070266723633,3.3564462661743164,0.0773751877801809,1.262514352798462,1.0,0.6628414988517761,0.0
7,-0.8795364756314528,-1.1189266375775606,-0.8795364756314528,0.07946944775496516,0.10513173091853635,0.13506566616928295,3.7823652369635448,3.664324534507025,3.5086218368439446,1.0000883224464598,1.3734122622580756,0.7000189630758195,9,1,70,0.13821269389951513,0.0,0.077856322724091,0.046959657371395604,0.060914557005436916,3.790985345840454,4.14045524597168,3.9892385005950928,0.07943848876352862,1.2788629531860352,1.0,0.6545387506484985,0.0
8,-0.9861919501175483,-1.2480175528886184,-0.9861919501175483,0.07744829954677507,0.10312590807783262,0.13300471913424275,4.526828320821126,4.330237607728868,4.0790830475943425,1.0000948590891703,1.3677654816990807,0.6989330663567498,9,1,80,0.13614189662926254,0.0,0.07561879682811504,0.04459618900920141,0.05890451433172204,4.376518249511719,4.934821605682373,4.687506675720215,0.0771360035397042,1.2798069715499878,1.0,0.6426489353179932,0.0
9,-1.0728192627962148,-1.3452499227703743,-1.0728192627962148,0.07659539454237839,0.10198063191258167,0.13163131914500678,5.365605456488473,5.052599475497291,4.6694992201668875,1.0000825203600383,1.3774644005866277,0.6986962599413735,9,1,90,0.1347746515025695,0.0,0.07609105911457313,0.046206977710408985,0.060062369349289615,4.966979503631592,5.815069675445557,5.429131984710693,0.07761344727445042,1.2730355262756348,1.0,0.6589276790618896,0.0
10,-1.141616299535547,-1.4347270299803536,-1.141616299535547,0.07588927387193059,0.10116609454190617,0.13065945151306335,6.282584399268741,5.805168976102556,5.250177692231678,1.0000899993237995,1.3718649813107082,0.7014454228537423,9,1,100,0.13373737515260775,0.0,0.07533848458321167,0.04599100889040614,0.05936946149669447,5.535477161407471,6.766818046569824,6.188643932342529,0.07680005549435627,1.2657034397125244,1.0,0.6609818339347839,0.0
11,-1.1927850132896787,-1.5447096779661358,-1.1927850132896787,0.07561784748736608,0.10078369974911783,0.12996318400615736,7.253159257343837,6.55660320009504,5.795972474416097,1.0000641882419585,1.3679058739117214,0.70172615477017,9,1,110,0.13297679739161616,0.0,0.0722066243969888,0.038187170748265005,0.05399437727107895,6.057851314544678,7.758861064910889,6.931756019592285,0.07365506127441548,1.2859864234924316,1.0,0.6523280143737793,0.0
12,-1.236548638485727,-1.56136255106836,-1.236548638485727,0.07449335538955967,0.09958407330955045,0.12862928494633663,8.264959927967617,7.29191723551069,6.299310634249733,1.000074777716682,1.373722431773231,0.699792339404424,9,1,120,0.13168365385028577,0.0,0.07630940613705876,0.0453448578943762,0.059670463841373346,6.533259391784668,8.77879524230957,7.647439956665039,0.07763307488013832,1.2875235080718994,1.0,0.661281168460846,0.0
13,-1.2688543343473049,-1.6454351027056855,-1.2688543343473049,0.07369341416079461,0.09859453549867041,0.12728203549271538,9.27558722723098,7.976318107332502,6.7364407176063175,1.0000692449864887,1.3782302856445312,0.7008370791162764,9,1,130,0.13027883817752203,0.0,0.0743104494308596,0.03823139979987282,0.05556427053931468,6.934529781341553,9.772394180297852,8.29342269897461,0.07582335097205667,1.284690022468567,1.0,0.6433489322662354,0.0
14,-1.3029967274694216,-1.6678538373056448,-1.3029967274694216,0.07167907108655244,0.09666897412211273,0.12530615769681477,10.257309341430664,8.590149134681338,7.114943926674979,1.0000943166869027,1.3919081926345824,0.7008497785954249,9,1,140,0.12832335049197788,0.0,0.07611827403834125,0.04004888190835152,0.05724183155030434,7.284824848175049,10.737518310546875,8.874022483825684,0.07767478352465298,1.2791482210159302,1.0,0.6614460349082947,0.0
15,-1.326078712159679,-1.6747248496087093,-1.326078712159679,0.0705596102740277,0.09536051226147053,0.12370426569666182,11.178738680339995,9.124407427651542,7.424515821820214,1.0000836446171715,1.394705629348755,0.6976054239840734,9,1,150,0.12668396781775212,0.0,0.07923465539297124,0.04134589116493205,0.059814407103607116,7.562185764312744,11.614428520202637,9.362513542175293,0.0808975841665535,1.3019647598266602,1.0,0.6744205355644226,0.0
