epoch,raw_loss_h3,ema_loss_h3,initial_loss_h3,difficulty_level_h3,relative_training_rate_h3,granularity_loss_h3,granularity_weight_h3,weighted_contribution_h3,raw_loss_h6,ema_loss_h6,initial_loss_h6,difficulty_level_h6,relative_training_rate_h6,granularity_loss_h6,granularity_weight_h6,weighted_contribution_h6,raw_loss_h10,ema_loss_h10,initial_loss_h10,difficulty_level_h10,relative_training_rate_h10,granularity_loss_h10,granularity_weight_h10,weighted_contribution_h10,site_weight_mean,site_weight_min,site_weight_max,total_loss
1,0.2527793829895235,0.2902434747133936,0.16424036026000977,0.9475391762597221,0.9580552472954704,0.2527793829895235,0.9066515562080202,0.233738877716969,0.2652203146207846,0.3021590070355506,0.1677873134613037,0.9999158041817802,0.9896443676380884,0.2652203146207846,0.9872257732209705,0.2619146357465407,0.2800659609160253,0.3140816521786508,0.1661018580198288,1.0526919447240375,1.0524536714667365,0.2800659609160253,1.1061226450261616,0.30550245102857776,1.0001176510538374,0.7226303889637902,1.339459898925963,0.3253116831006039
2,0.17252649549555266,0.17465479593901406,0.16424036026000977,0.9012404646192278,0.9113937096936362,0.17252649549555266,0.81695031779153,0.14240222161412017,0.1906143745505496,0.1924955318371455,0.1677873134613037,0.9970834507828668,0.9870029869533721,0.1906143745505496,0.978157900912421,0.1864918477734413,0.2103983840151202,0.21185234075500853,0.1661018580198288,1.1009253433772497,1.1008548078082856,0.2103983840151202,1.2048917668206351,0.25218494384219897,1.0001193126042685,0.7288782295726595,1.373227374326615,0.2365700712161405
3,0.14579828743907539,0.14666769916103,0.16424036026000977,0.874439120008832,0.8843745203245253,0.14579828743907539,0.7663892870857603,0.11240637998242259,0.16578803616954665,0.16659390780897368,0.1677873134613037,0.9953796122755323,0.9854098302977425,0.16578803616954665,0.971502844776426,0.16101319970920863,0.18802280296527205,0.18869757049140476,0.1661018580198288,1.128742147627331,1.128776438463302,0.18802280296527205,1.2621078479857673,0.23697309397649388,1.0000888154620216,0.7163527928647541,1.3490241675149828,0.2085545602476313
4,0.1331088696138568,0.1334202650757063,0.16424036026000977,0.8591347064290727,0.8689428928352537,0.1331088696138568,0.7378931877158937,0.09883115103425934,0.15376026415083396,0.15408750676683017,0.1677873134613037,0.9944279977253505,0.9845213838985988,0.15376026415083396,0.9667646606763204,0.14852346229323954,0.17698000736002412,0.17721134810930206,0.1661018580198288,1.1451778814906166,1.1452759067217508,0.17698000736002412,1.2953421405383518,0.22921030207201876,1.0000880556447165,0.7001111924648284,1.354606961636316,0.19488685155908267
5,0.1273066078504307,0.1275224165192672,0.16424036026000977,0.852839480127607,0.8625937351158687,0.1273066078504307,0.7263923894791376,0.09308666004174229,0.14801777780733325,0.148225788914022,0.1677873134613037,0.9936053684779576,0.9837273200352986,0.14801777780733325,0.9642410553637005,0.1426666001953472,0.17141500246666727,0.1716016379140672,0.1661018580198288,1.151919853119623,1.1520421976134891,0.17141500246666727,1.3093665474937075,0.22433434929326243,1.0000786273252396,0.7005550639969962,1.347713461376372,0.18832445003624473
6,0.11879232418879368,0.11915699821852502,0.16424036026000977,0.8435816781861442,0.8532553928239005,0.11879232418879368,0.7094641200133732,0.08485675191562062,0.139419286641065,0.1397698642597312,0.1677873134613037,0.9921761964048658,0.9823419241678147,0.139419286641065,0.9595942309924534,0.13370774108310354,0.16319273322643268,0.16352080681494305,0.1661018580198288,1.1625071094149635,1.162665889944349,0.16319273322643268,1.3309416458720253,0.21716338776719024,1.0000860285191309,0.6932398134753818,1.3567678468567985,0.17859340752696706
7,0.11442583097082576,0.11444347195682071,0.16424036026000977,0.8389646470546722,0.8485982156935192,0.11442583097082576,0.701142931835992,0.08079201784033661,0.13486127009053836,0.13490476473456336,0.1677873134613037,0.9915044568833851,0.9816916116646358,0.13486127009053836,0.957512947491237,0.1290891747539114,0.15855968452635266,0.15864087570281254,0.1661018580198288,1.167508528346107,1.1676855308668954,0.15855968452635266,1.341344099953061,0.21263827321801512,1.0000688603946142,0.6889940764222826,1.3606572554225014,0.1733603459827247
8,0.11112999294897871,0.11108513167571454,0.16424036026000977,0.8361905940941402,0.8457998673121134,0.11112999294897871,0.6960816275505792,0.07791025106020143,0.13131012085771732,0.1312835510997545,0.1677873134613037,0.991128980261939,0.981328923361642,0.13131012085771732,0.9561584049747104,0.1255001793521433,0.1548322617564173,0.15483839433817637,0.1661018580198288,1.1707078740710304,1.1708960635321481,0.1548322617564173,1.3477599603789194,0.20862790509614473,1.0000675757726034,0.691509264991397,1.3645762176740737,0.16901184554610935
9,0.11068152113144762,0.11090339652839161,0.16424036026000977,0.8391271750132243,0.8487599040780749,0.11068152113144762,0.7014501001153673,0.07837223018121935,0.1301732447408318,0.13042861418355078,0.1677873134613037,0.9909205314658937,0.9811109979947408,0.1301732447408318,0.9562774811472211,0.12442904324967274,0.15310070590958708,0.15337821919293632,0.1661018580198288,1.167985351312728,1.1681596211024694,0.15310070590958708,1.3422723997206916,0.20524113415232897,1.0000596037932805,0.6915331902958098,1.3685062101909093,0.16732693865363088
10,0.11049003096110227,0.11058649248665288,0.16424036026000977,0.8384774795600346,0.8481042240347181,0.11049003096110227,0.7003998378912608,0.07834820133013516,0.1298899540552896,0.12999760980407396,0.1677873134613037,0.9908724759306227,0.9810656564576286,0.1298899540552896,0.9560228012856983,0.12414420912478617,0.1526860438021166,0.15282495532717025,0.1661018580198288,1.168624632699149,1.1688020762943085,0.1526860438021166,1.3435773412386576,0.20462616657365526,1.0000583271185557,0.6863571831158229,1.3696158789453052,0.16691185854197968
