horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,52.508,60.256,-0.437,0.060,0.058,7.198,7.198,7.198,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,64.155,73.471,-0.951,0.073,0.069,8.826,8.826,8.826,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,81.045,92.125,-1.610,0.091,0.086,11.239,11.239,11.239,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
