family,variant_id,display_name,run_id,seed,model_name,status,reference_only,run_dir,metrics_source_dir
L,L7,Score-aligned hybrid,l7_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\L\l7_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_fixed_dual_seed2026\A8\STMGPrompt_ComponentAblation
R,R0,Canonical robustness reference,r0_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\R\r0_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026
T,T0,T0,T0,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\T0,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026
T,T0,Canonical Fixed Dual reference,t0_smoke_v1,2026,STMGPrompt_ComponentAblation,reference-only,True,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t0_smoke_v1,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_canonical\full_fixed_dual_keep_msmgdwu_seed2026
T,T1,Fine-only,framework_multiseed_smoke,2025,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\framework_multiseed_smoke\seed_2025\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\framework_multiseed_smoke\seed_2025\STMGPrompt_ComponentAblation
T,T1,Fine-only,framework_multiseed_smoke,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\framework_multiseed_smoke\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\framework_multiseed_smoke\seed_2026\STMGPrompt_ComponentAblation
T,T1,Fine-only,t1_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t1_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t1_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
T,T2,Coarse-only,t2_smoke_v1,2026,STMGPrompt_ComponentAblation,completed,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t2_smoke_v1\seed_2026\STMGPrompt_ComponentAblation,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t2_smoke_v1\seed_2026\STMGPrompt_ComponentAblation
T,T3,Shared temporal transform dual,t3_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t3_smoke_v1,
T,T4,Downsample-upsample Coarse dual,t4_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t4_smoke_v1,
T,T5,Fixed Dual concat/MLP interaction,t5_smoke_v1,,,pending,False,D:\PaperProject\GyxPaper2\custom_models\results\empirical_analysis_v1\T\t5_smoke_v1,
