batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.394713819026947,0.27103835344314575,0.3342479169368744
0,2,0.3917408883571625,0.297127366065979,0.3111317753791809
0,3,0.39869803190231323,0.255904883146286,0.34539708495140076
0,4,0.3288760483264923,0.40453535318374634,0.26658862829208374
0,5,0.4040299355983734,0.31786105036735535,0.278109073638916
0,6,0.3477466106414795,0.3616877794265747,0.2905656695365906
0,7,0.33639654517173767,0.4128720760345459,0.2507314383983612
0,8,0.33281776309013367,0.3336668014526367,0.333515465259552
0,9,0.37101638317108154,0.30355411767959595,0.3254294991493225
0,10,0.38478684425354004,0.30840080976486206,0.3068123757839203
