epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,val_official_score_h10,val_official_score_h3,val_official_score_h6
1,0.4954109210343588,0.28890479168868416,123.64958347130454,175.96172972906123,0.7650174827910301,13.811889197976107,134.03122788565824,196.2910554975187,0.7070159155308788,15.267725328797031,146.05743725014958,217.47585052505465,0.6396244708697421,16.89589067659235,16.89589067659235,True,0,0.001,108.73831680000876,0.4954109210343588,,,,,,,,,,9,20,9,20,29,16.89589067659235,13.811889197976107,15.267725328797031
2,0.42738817639294124,0.2701797816498673,116.46135225357807,166.8141044338238,0.7888142339873321,12.07982217363916,128.68493382315438,189.9945404846065,0.7255108060987615,13.82245930521234,142.79396641333915,213.77889539727087,0.6517726527047445,15.698407876708682,15.698407876708682,True,0,0.001,107.30178749997867,0.42738817639294124,,,,,,,,,,9,20,18,40,58,15.698407876708682,12.07982217363916,13.82245930521234
3,0.41019295432737896,0.2660551896465603,113.7970235689242,160.85271523521908,0.8036386996690897,11.416506341713822,126.73546956215613,185.83944171052866,0.7373854448477168,13.135899582632165,141.36460726059246,211.20602668638085,0.6601041750731492,15.079697802355081,15.079697802355081,True,0,0.001,107.39690749999136,0.41019295432737896,,,,,,,,,,9,20,27,60,87,15.079697802355081,11.416506341713822,13.135899582632165
4,0.4015453149165426,0.26340398043761115,110.50528796938765,156.78766030228525,0.8134381389521183,11.059019637789934,124.14356730448449,182.87404548539382,0.7456995356417546,12.80602111921295,139.2035933689201,209.05767714148425,0.6669837252873017,14.763769509602858,14.763769509602858,True,0,0.001,107.55069589999039,0.4015453149165426,,,,,,,,,,9,20,36,80,116,14.763769509602858,11.059019637789934,12.80602111921295
5,0.3940437988156364,0.26176457118077817,106.0869465306166,150.18046282065444,0.8288306570606766,10.645083939848293,121.03778015170352,178.2980414360294,0.7582668820805565,12.495699254219652,136.5819856683937,205.40734924028706,0.6785116991882784,14.480980995809219,14.480980995809219,True,0,0.001,107.62162670001271,0.3940437988156364,,,,,,,,,,9,20,45,100,145,14.480980995809219,10.645083939848293,12.495699254219652
6,0.38473903849011376,0.2582306873668077,100.48520991183757,146.77275685093613,0.8365104455690175,10.142675386249628,116.83563745576492,176.12217100228915,0.7641308896336588,12.134836576353461,133.71249032506796,204.17291296239307,0.6823641838042735,14.236927740655585,14.236927740655585,True,0,0.001,107.63045299999067,0.38473903849011376,,,,,,,,,,9,20,54,120,174,14.236927740655585,10.142675386249628,12.134836576353461
7,0.3783298671245575,0.25954990765180785,97.30691286119489,144.22118421643833,0.8421454075331956,9.86047840951528,114.70941489934734,174.81304775821005,0.7676243071813424,11.946523918739933,132.27292135561584,203.38891504714076,0.6847988623365975,14.10430263479828,14.10430263479828,True,0,0.001,107.24525989999529,0.3783298671245575,,,,,,,,,,9,20,63,140,203,14.10430263479828,9.86047840951528,11.946523918739933
8,0.373289310470933,0.26698626411775944,92.85582215270927,138.39133520177882,0.8546493743000638,9.479413761716751,110.86704541533446,168.97835249863434,0.7828773396807186,11.636650020735743,129.07029794529407,197.92771750047896,0.7014985467079051,13.855249661597037,13.855249661597037,True,0,0.001,107.16216440001153,0.373289310470933,,,,,,,,,,9,20,72,160,232,13.855249661597037,9.479413761716751,11.636650020735743
9,0.36918921569983165,0.25993568179532517,91.8786385888336,139.64407138215313,0.8520059989718742,9.391664957054545,110.80376633089047,170.99422068927726,0.7776660043078741,11.629409075235003,129.47810534322258,200.04561753278168,0.6950762162452733,13.899829642706035,13.899829642706035,False,1,0.001,107.41187410001294,0.36918921569983165,,,,,,,,,,9,20,81,180,261,13.899829642706035,9.391664957054545,11.629409075235003
10,0.36665348871832804,0.26467661777043283,89.33881166792831,135.8833795425975,0.8598697857400365,9.136470550018435,108.71882903990718,167.25555847495457,0.7872820553295008,11.400849767146918,127.9239633023576,196.34829746872342,0.7062434920854994,13.711529863763714,13.711529863763714,True,1,0.001,107.5447774999775,0.36665348871832804,,,,,,,,,,9,20,90,200,290,13.711529863763714,9.136470550018435,11.400849767146918
