horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,89.925,102.459,-3.156,0.105,0.099,12.253,12.253,12.253,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,117.106,131.236,-5.226,0.138,0.127,16.074,16.074,16.074,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,131.946,144.662,-5.437,0.153,0.140,18.060,18.060,18.060,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
