horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,51.677,59.390,-0.396,0.059,0.057,7.090,7.090,7.090,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,63.016,72.224,-0.886,0.071,0.068,8.672,8.672,8.672,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,79.745,90.720,-1.531,0.089,0.084,11.063,11.063,11.063,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
