horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,num_valid_points
3,58.504980812610036,72.34219863816001,-1.0719256385166056,0.0666270769581006,0.06360801311081772,7830.15869140625,7830.15869140625,7830.15869140625,71.0
6,68.83604847301136,83.15702127464388,-1.4999298338065525,0.07790144579828819,0.07390243616333364,9217.9833984375,9217.9833984375,9217.9833984375,143.0
10,86.9178466796875,101.28418282856977,-2.155349644278399,0.09733226953726615,0.09151217690042264,11643.1328125,11643.1328125,11643.1328125,239.0
