batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.3840731084346771,0.17678695917129517,0.4391399323940277
0,2,0.27192258834838867,0.30513960123062134,0.4229378402233124
0,3,0.2917494773864746,0.3154858350753784,0.392764687538147
0,4,0.42174309492111206,0.1991618573665619,0.37909507751464844
0,5,0.3723105788230896,0.24842052161693573,0.37926897406578064
0,6,0.39234399795532227,0.23067522048950195,0.3769807517528534
0,7,0.31830641627311707,0.18423250317573547,0.49746114015579224
0,8,0.39214444160461426,0.23542684316635132,0.3724287450313568
0,9,0.3663606345653534,0.22406992316246033,0.40956947207450867
0,10,0.45764410495758057,0.19234603643417358,0.35000985860824585
