valid_target_count,MAE_H10,MAE_H3,MAE_H6,R2_H10,R2_H3,R2_H6,RMSE_H10,RMSE_H3,RMSE_H6,Score_H10,Score_H3,Score_H6,TurbID,node_index
29,44.304,48.260,37.333,-1.947,-12.585,-2.808,54.100,52.287,43.495,0.049,0.051,0.041,1,0
30,45.990,8.454,24.913,-3.087,0.188,-2.431,58.056,10.707,33.510,0.052,0.009,0.029,2,1
30,37.710,11.041,19.303,-3.155,-0.494,-2.701,46.800,14.238,24.245,0.042,0.012,0.022,3,2
30,53.004,15.894,26.933,-2.358,0.216,-1.068,65.909,20.045,34.262,0.059,0.017,0.031,4,3
30,55.179,7.163,26.744,-1.966,0.148,-0.590,72.337,8.294,40.178,0.064,0.008,0.033,5,4
30,94.729,51.560,68.772,-11.993,-5.793,-18.352,105.926,56.621,74.767,0.100,0.054,0.072,6,5
30,121.687,75.094,92.143,-15.037,-15.896,-22.749,129.223,76.298,95.309,0.125,0.075,0.094,7,6
30,140.323,94.763,119.552,-24.111,-24.850,-20.135,145.273,95.783,123.717,0.143,0.095,0.121,8,7
