step,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,bias_kw,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied,negative_prediction_ratio_raw,above_capacity_ratio_raw
1,40.285,52.735,-0.182,0.046,0.044,5.368,5.368,5.368,-28.123,23,24,0.958,23,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
2,39.951,53.274,-0.088,0.045,0.044,5.353,5.353,5.353,-15.498,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
3,36.517,50.291,-0.012,0.040,0.039,4.893,4.893,4.893,-21.737,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
4,51.664,66.858,-0.660,0.058,0.055,6.923,6.923,6.923,-47.858,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
5,87.743,98.527,-2.651,0.100,0.094,11.758,11.758,11.758,-87.743,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
6,55.732,70.633,-0.803,0.061,0.058,7.468,7.468,7.468,-50.311,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
7,80.066,90.488,-2.238,0.088,0.084,10.729,10.729,10.729,-80.066,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
8,89.764,102.795,-2.815,0.098,0.092,12.028,12.028,12.028,-89.497,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
9,135.380,142.644,-7.290,0.152,0.140,18.141,18.141,18.141,-135.380,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
10,123.888,132.046,-6.341,0.137,0.127,16.601,16.601,16.601,-123.888,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,True,0.000,0.000
