batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.28177210688591003,0.3743293285369873,0.34389859437942505
0,2,0.30890005826950073,0.39272791147232056,0.2983720898628235
0,3,0.3081025183200836,0.44314488768577576,0.2487526386976242
0,4,0.3536848723888397,0.44811391830444336,0.19820120930671692
0,5,0.34097820520401,0.272816002368927,0.38620585203170776
0,6,0.2644016444683075,0.4578208923339844,0.27777743339538574
0,7,0.23013894259929657,0.47339171171188354,0.29646939039230347
0,8,0.28522688150405884,0.5038730502128601,0.21090015769004822
0,9,0.3347870707511902,0.39650440216064453,0.26870858669281006
0,10,0.2298824042081833,0.4714038074016571,0.2987137734889984
