event_rank_by_abs_train_ramp,event_index,event_timestamp,ramp_kw_per_10min,absolute_ramp_kw_per_10min,representation,alignment_mode,peak_timing_error_steps,local_correlation,reconstruction_rmse_kw,window_radius_steps,source_signal,fit_split
8,8174,2021-02-26 18:30:00,-870.824116721082,870.824116721082,causal_downsample_upsample_ma36,causal_downsample_upsample,34,-0.326729518785858,459.4150966737962,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,coaxial_ma6,coaxial,1,0.8267829833316127,231.19535591317154,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,coaxial_ma18,coaxial,13,0.29328950709827695,415.9511923548093,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,coaxial_ma36,coaxial,-2,0.12995059844740786,422.6912220087601,36,Patv_clean_for_input,train
9,13166,2021-04-02 10:30:00,-827.0740438432836,827.0740438432836,causal_downsample_upsample_ma36,causal_downsample_upsample,10,-0.03784976153045551,488.48095715098856,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,coaxial_ma6,coaxial,4,0.7823606807268889,285.1164532617981,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,coaxial_ma18,coaxial,6,0.3029017038116264,449.65600621366866,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,coaxial_ma36,coaxial,35,0.4179844815784555,432.7041940651558,36,Patv_clean_for_input,train
10,10492,2021-03-14 20:50:00,812.7158931902986,812.7158931902986,causal_downsample_upsample_ma36,causal_downsample_upsample,20,0.274050458570517,493.76760407772156,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,coaxial_ma6,coaxial,-8,0.787885966208093,252.15746857714154,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,coaxial_ma18,coaxial,-7,0.35427208738727967,397.28512262102157,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,coaxial_ma36,coaxial,-2,-0.09984545074159991,444.4076764642084,36,Patv_clean_for_input,train
11,13637,2021-04-05 17:00:00,-786.3990496735074,786.3990496735074,causal_downsample_upsample_ma36,causal_downsample_upsample,-29,-0.27593884809437513,516.5331726695636,36,Patv_clean_for_input,train
12,10774,2021-03-16 19:50:00,773.7630597014926,773.7630597014926,coaxial_ma6,coaxial,2,0.801332324012146,211.61867046070356,36,Patv_clean_for_input,train
12,10774,2021-03-16 19:50:00,773.7630597014926,773.7630597014926,coaxial_ma18,coaxial,3,0.43280536870632796,329.64885826110867,36,Patv_clean_for_input,train
12,10774,2021-03-16 19:50:00,773.7630597014926,773.7630597014926,coaxial_ma36,coaxial,3,-0.23431498206481455,407.3935862801953,36,Patv_clean_for_input,train
12,10774,2021-03-16 19:50:00,773.7630597014926,773.7630597014926,causal_downsample_upsample_ma36,causal_downsample_upsample,26,-0.46996499648976103,415.2667257714432,36,Patv_clean_for_input,train
13,10727,2021-03-16 12:00:00,-771.7489505597014,771.7489505597014,coaxial_ma6,coaxial,18,0.7608783405174379,195.18523727276474,36,Patv_clean_for_input,train
13,10727,2021-03-16 12:00:00,-771.7489505597014,771.7489505597014,coaxial_ma18,coaxial,17,0.5377999079731555,257.74395415172535,36,Patv_clean_for_input,train
13,10727,2021-03-16 12:00:00,-771.7489505597014,771.7489505597014,coaxial_ma36,coaxial,-1,0.11663478514296283,327.01098926080505,36,Patv_clean_for_input,train
13,10727,2021-03-16 12:00:00,-771.7489505597014,771.7489505597014,causal_downsample_upsample_ma36,causal_downsample_upsample,1,-0.20169980022270767,373.3792933862594,36,Patv_clean_for_input,train
14,13905,2021-04-07 13:40:00,762.3363747667911,762.3363747667911,coaxial_ma6,coaxial,-12,0.7223128117188576,202.4551658126156,36,Patv_clean_for_input,train
14,13905,2021-04-07 13:40:00,762.3363747667911,762.3363747667911,coaxial_ma18,coaxial,5,0.0383356281229432,314.7998040897287,36,Patv_clean_for_input,train
14,13905,2021-04-07 13:40:00,762.3363747667911,762.3363747667911,coaxial_ma36,coaxial,-10,0.0938776992411622,292.881830626795,36,Patv_clean_for_input,train
14,13905,2021-04-07 13:40:00,762.3363747667911,762.3363747667911,causal_downsample_upsample_ma36,causal_downsample_upsample,-9,-0.06338607010085782,308.13411979575113,36,Patv_clean_for_input,train
15,17084,2021-04-29 15:30:00,753.0065881529849,753.0065881529849,coaxial_ma6,coaxial,4,0.8272976143292462,201.7650500015807,36,Patv_clean_for_input,train
15,17084,2021-04-29 15:30:00,753.0065881529849,753.0065881529849,coaxial_ma18,coaxial,16,0.7147347078967179,290.43203805006937,36,Patv_clean_for_input,train
15,17084,2021-04-29 15:30:00,753.0065881529849,753.0065881529849,coaxial_ma36,coaxial,-15,0.6921194051046531,370.8241926747522,36,Patv_clean_for_input,train
15,17084,2021-04-29 15:30:00,753.0065881529849,753.0065881529849,causal_downsample_upsample_ma36,causal_downsample_upsample,16,0.4785819109579677,564.6804079977201,36,Patv_clean_for_input,train
16,11013,2021-03-18 11:40:00,740.6170708955224,740.6170708955224,coaxial_ma6,coaxial,-31,0.8882059109426214,220.36008265857959,36,Patv_clean_for_input,train
16,11013,2021-03-18 11:40:00,740.6170708955224,740.6170708955224,coaxial_ma18,coaxial,5,0.5020902897592995,444.0353685884617,36,Patv_clean_for_input,train
16,11013,2021-03-18 11:40:00,740.6170708955224,740.6170708955224,coaxial_ma36,coaxial,-23,-0.30873379107449384,620.1583236247956,36,Patv_clean_for_input,train
16,11013,2021-03-18 11:40:00,740.6170708955224,740.6170708955224,causal_downsample_upsample_ma36,causal_downsample_upsample,3,-0.6473500165112044,807.1596832106641,36,Patv_clean_for_input,train
17,16791,2021-04-27 14:40:00,739.8832789179105,739.8832789179105,coaxial_ma6,coaxial,5,0.975717109434168,143.39432345868215,36,Patv_clean_for_input,train
17,16791,2021-04-27 14:40:00,739.8832789179105,739.8832789179105,coaxial_ma18,coaxial,12,0.9198296636592719,289.74314242866006,36,Patv_clean_for_input,train
17,16791,2021-04-27 14:40:00,739.8832789179105,739.8832789179105,coaxial_ma36,coaxial,15,0.8573499025282764,464.4951153945221,36,Patv_clean_for_input,train
17,16791,2021-04-27 14:40:00,739.8832789179105,739.8832789179105,causal_downsample_upsample_ma36,causal_downsample_upsample,21,0.5439401652008953,715.06280281675,36,Patv_clean_for_input,train
18,16966,2021-04-28 19:50:00,722.4419892723881,722.4419892723881,coaxial_ma6,coaxial,0,0.8727202421035297,193.41271883985388,36,Patv_clean_for_input,train
18,16966,2021-04-28 19:50:00,722.4419892723881,722.4419892723881,coaxial_ma18,coaxial,0,0.5081376631458024,351.493455167922,36,Patv_clean_for_input,train
