graph,semantic,assignment,edge_count,mean_semantic_fit,weighted_mean_semantic_fit,mean_edge_length,global_support_jaccard_micro_macro,fit_split,interpretation_scope,distance_reference_fit,semantic_fit_lift_vs_distance,semantic_fit_score
Micro,delta_wspd_cosine,matched,984,0.5420573514846176,0.5551548992496866,1524.5772763974226,0.4295550847457627,train,statistical_association_not_physical_causality,0.5245321317980906,0.03062276745159609,0.03062276745159609
Micro,ma36_patv_correlation,crossed,984,0.9392717624372124,0.9398931380746938,1524.5772763974226,0.4295550847457627,train,statistical_association_not_physical_causality,0.9386736439014723,0.0012194941732214248,0.0012194941732214248
Macro,delta_wspd_cosine,crossed,1715,0.46767745417965967,0.48188269992996424,2542.3963907889206,0.4295550847457627,train,statistical_association_not_physical_causality,0.5245321317980906,-0.04264943186812631,-0.04264943186812631
Macro,ma36_patv_correlation,matched,1715,0.9449207527266157,0.9463710903198725,2542.3963907889206,0.4295550847457627,train,statistical_association_not_physical_causality,0.9386736439014723,0.0076974464184002,0.0076974464184002
Distance,delta_wspd_cosine,reference,670,0.5235159700895158,0.5245321317980906,801.0727735147598,0.4295550847457627,train,statistical_association_not_physical_causality,0.5245321317980906,0.0,0.0
Distance,ma36_patv_correlation,reference,670,0.9386045228597433,0.9386736439014723,801.0727735147598,0.4295550847457627,train,statistical_association_not_physical_causality,0.9386736439014723,0.0,0.0
