batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.2819051742553711,0.37421590089797974,0.34387895464897156
0,2,0.30902761220932007,0.39264553785324097,0.29832690954208374
0,3,0.3082493543624878,0.4430047273635864,0.24874591827392578
0,4,0.3539111614227295,0.4479009509086609,0.19818785786628723
0,5,0.3410986363887787,0.27273088693618774,0.38617056608200073
0,6,0.26456648111343384,0.45770198106765747,0.27773159742355347
0,7,0.23023895919322968,0.47330600023269653,0.296455055475235
0,8,0.2853889763355255,0.5037549734115601,0.2108561247587204
0,9,0.3349815309047699,0.3963543772697449,0.26866415143013
0,10,0.23000290989875793,0.47131285071372986,0.298684298992157
