epoch,raw_loss_h3,ema_loss_h3,initial_loss_h3,difficulty_level_h3,relative_training_rate_h3,granularity_loss_h3,granularity_weight_h3,weighted_contribution_h3,raw_loss_h6,ema_loss_h6,initial_loss_h6,difficulty_level_h6,relative_training_rate_h6,granularity_loss_h6,granularity_weight_h6,weighted_contribution_h6,raw_loss_h10,ema_loss_h10,initial_loss_h10,difficulty_level_h10,relative_training_rate_h10,granularity_loss_h10,granularity_weight_h10,weighted_contribution_h10,site_weight_mean,site_weight_min,site_weight_max,total_loss
1,0.46445270379384357,0.9020819664001465,0.46768784523010254,1.000976840655009,1.0172738234202068,0.46445270379384357,1.018259088198344,0.47286435125827114,0.45582948128382367,0.9010929663976034,0.47781306505203247,0.9998084902763367,0.9945548375447592,0.45582948128382367,0.9943544268608093,0.4532692204686981,0.45109784603118896,0.9005890488624573,0.4806140661239624,0.9992146293322245,0.9881712992986044,0.45109784603118896,0.9873864054679871,0.44550432943524854,1.0000000198682149,0.985427180926005,1.027185042699178,0.5476557115713755
2,0.3704741696516673,0.7665426731109619,0.46768784523010254,1.003456751505534,1.0197731653849285,0.3704741696516673,1.0232627391815186,0.37908472264718185,0.36215101679166156,0.7630004485448202,0.47781306505203247,0.9987625678380331,0.993493914604187,0.36215101679166156,0.9922290245691935,0.3593479209393446,0.3630915780862172,0.7622599601745605,0.4806140661239624,0.9977807005246481,0.9867328604062399,0.3630915780862172,0.9845081567764282,0.3574896199891236,0.999999980131785,0.9598609606424967,1.0712318420410156,0.4385030269622803
3,0.3109322090943654,0.6481617093086243,0.46768784523010254,1.0051424900690715,1.021472970644633,0.3109322090943654,1.0266696214675903,0.3192068608716407,0.3016652911901474,0.6433050036430359,0.47781306505203247,0.9975324074427286,0.9922573963801066,0.3016652911901474,0.9897536238034567,0.2986313228103654,0.3050689101219177,0.6431616346041361,0.4806140661239624,0.9973251620928446,0.9862696131070455,0.3050689101219177,0.9835766553878784,0.3000507019591107,0.999999980131785,0.931772768497467,1.1192228396733601,0.36790897448857623
4,0.26614965001742047,0.5484255949656168,0.46768784523010254,1.0061194896697998,1.0224603414535522,0.26614965001742047,1.0286485354105632,0.2738482126756689,0.26058419545491535,0.5427868366241455,0.47781306505203247,0.9957271416982015,0.990456223487854,0.26058419545491535,0.9861570596694946,0.2570110786890609,0.2666216790676117,0.5440922180811564,0.4806140661239624,0.9981535275777181,0.9870834151903788,0.2666216790676117,0.9851943651835123,0.2626141353531614,1.0,0.9002789855003357,1.164393424987793,0.31918105483055115
5,0.22052831947803497,0.4625813166300456,0.46768784523010254,1.0042635599772136,1.0205942392349243,0.22052831947803497,1.0248990456263225,0.22612737278289372,0.2205254832903544,0.45802590250968933,0.47781306505203247,0.9943780899047852,0.9891337156295776,0.2205254832903544,0.9835274616877238,0.2169400262078612,0.2308495044708252,0.46120641628901166,0.4806140661239624,1.0013582706451416,0.9902720252672831,0.2308495044708252,0.9915734926859537,0.2287941955404816,0.999999980131785,0.8661727507909139,1.2036192814509075,0.2717931071917216
6,0.2018513878186544,0.39306387305259705,0.46768784523010254,1.0014198621114094,1.0177354017893474,0.2018513878186544,1.0191456874211628,0.20589107562017914,0.19988061984380087,0.3893555204073588,0.47781306505203247,0.9919437170028687,0.986742377281189,0.19988061984380087,0.9787575205167135,0.19568841417239233,0.21357227861881256,0.39508400360743207,0.4806140661239624,1.0066365400950115,0.9955223202705383,0.21357227861881256,1.0020967324574788,0.2138915259435811,0.999999980131785,0.8370459079742432,1.2377054293950398,0.24996015429496765
7,0.17999533067146936,0.3368793725967407,0.46768784523010254,0.9979711771011353,1.014268398284912,0.17999533067146936,1.0121512810389202,0.1824088497681838,0.17934616903463999,0.33380576968193054,0.47781306505203247,0.9888490239779154,0.983700672785441,0.17934616903463999,0.9726696411768595,0.17447803942332682,0.19398872057596842,0.341989129781723,0.4806140661239624,1.013179898262024,1.002030869325002,0.19398872057596842,1.0151791175206502,0.19681641429561894,0.9999999403953552,0.8086844881375631,1.2806732257207234,0.2257909228404363
8,0.17331068714459738,0.29243187109629315,0.46768784523010254,0.993330180644989,1.0096007982889812,0.17331068714459738,1.0027251442273457,0.1739281082402974,0.1738375723361969,0.2901383638381958,0.47781306505203247,0.9855473438898722,0.9804639021555582,0.1738375723361969,0.9661522706349691,0.1679601996013481,0.19023876388867697,0.30059076348940533,0.4806140661239624,1.021122694015503,1.0099354187647502,0.19023876388867697,1.0311226050059001,0.1961057790076494,0.9999999602635702,0.7821032603581747,1.3310981194178264,0.22029253840446472
9,0.1535534461339315,0.25670769313971203,0.46768784523010254,0.9890606800715128,1.0053051312764485,0.1535534461339315,0.9940552115440369,0.15283452508805015,0.1535539155205091,0.25518279771010083,0.47781306505203247,0.9831688006718954,0.9781403144200643,0.1535539155205091,0.961425801118215,0.1476508520847292,0.16817832986513773,0.26673890153567,0.4806140661239624,1.0277704397837322,1.0165547132492065,0.16817832986513773,1.0445189476013184,0.17559060745460484,1.0,0.7533307274182638,1.3884327014287312,0.19527397056420645
10,0.14693774531284967,0.22717031836509705,0.46768784523010254,0.9843948483467102,1.000609298547109,0.14693774531284967,0.9845844308535258,0.14474281413230283,0.14756765713294348,0.2264031320810318,0.47781306505203247,0.9810596307118734,0.9760873317718506,0.14756765713294348,0.9572004079818726,0.14129238696416557,0.1618285079797109,0.23873034616311392,0.4806140661239624,1.0345454216003418,1.0233033100763957,0.1618285079797109,1.0582151412963867,0.1711796777778082,0.9999999205271403,0.7311112880706787,1.4303553501764934,0.18785377343495688
