epoch,raw_loss_h3,ema_loss_h3,initial_loss_h3,difficulty_level_h3,relative_training_rate_h3,granularity_loss_h3,granularity_weight_h3,weighted_contribution_h3,raw_loss_h6,ema_loss_h6,initial_loss_h6,difficulty_level_h6,relative_training_rate_h6,granularity_loss_h6,granularity_weight_h6,weighted_contribution_h6,raw_loss_h10,ema_loss_h10,initial_loss_h10,difficulty_level_h10,relative_training_rate_h10,granularity_loss_h10,granularity_weight_h10,weighted_contribution_h10,site_weight_mean,site_weight_min,site_weight_max,total_loss
1,0.25584975754815426,0.2929944395309403,0.22399663925170898,0.9482430273578281,0.9914831453845614,0.25584975754815426,0.9396539889630817,0.24536311983526235,0.2684719007658331,0.3050552779010364,0.23647981882095337,1.0005701249554044,0.9909858456679753,0.2684719007658331,0.989916380530312,0.26586867217201254,0.2823194749830734,0.31603272628216517,0.24184012413024902,1.0516287233148303,1.0184836418855758,0.2823194749830734,1.0704296092192331,0.2976475886198986,1.0001354614893596,0.7182753114473253,1.3291175626573108,0.327582440028588
2,0.17505820262196817,0.17746900135562532,0.22399663925170898,0.9023434519767761,0.9446095773151942,0.17505820262196817,0.849398884886787,0.14993485617941893,0.1932844941874155,0.1955127598274322,0.23647981882095337,0.9974641831148239,0.9890713087150029,0.1932844941874155,0.9825614177045368,0.18986141846630164,0.21310822432417245,0.21493522233906245,0.24184012413024902,1.099656513191405,1.066235369160062,0.21310822432417245,1.1680396891775586,0.24787186653363963,1.0000939386231558,0.7237909947122846,1.3521554345176334,0.23919038490525313
3,0.14409863856135374,0.14494398222083138,0.22399663925170898,0.8742372175057729,0.915847924493608,0.14409863856135374,0.7952754100163778,0.11518796914545246,0.1639137139641925,0.16467457332071803,0.23647981882095337,0.9955863081273578,0.9879230135963076,0.1639137139641925,0.9764399187905448,0.1598946601631654,0.1859613952182588,0.18653131020920619,0.24184012413024902,1.1291332596824282,1.095606932185945,0.1859613952182588,1.228284654163179,0.2282267889593816,1.000087609177544,0.7135988153162457,1.3555193486667814,0.20554914831050805
4,0.13057354269059082,0.13103650059728394,0.22399663925170898,0.85808356489454,0.8992930880614689,0.13057354269059082,0.7647598048051198,0.1004753453425565,0.15109002812983888,0.15149577490630603,0.23647981882095337,0.9947434828394935,0.987493706317175,0.15109002812983888,0.9728978094600496,0.1468186602678148,0.17399450500628777,0.17427745422437077,0.24184012413024902,1.1457922504061744,1.1122335019565763,0.17399450500628777,1.2623423678534371,0.21950139176375483,1.0000886687210628,0.6998190604505085,1.358589826311384,0.1910331008689744
5,0.12436742966540122,0.12458649465725535,0.22399663925170898,0.850259040934699,0.8912695362454369,0.12436742966540122,0.7501548977125259,0.09398285626771419,0.14497646562862054,0.14519135668164207,0.23647981882095337,0.9936985041413988,0.9866568869068509,0.14497646562862054,0.96975206051554,0.1404472978661067,0.1682718520363172,0.1684400750058038,0.24184012413024902,1.1544548227673486,1.120874276047661,0.1682718520363172,1.280093006292979,0.21521997230972112,1.000091595592953,0.6948111170814151,1.353837639944894,0.18415648836997292
6,0.11900922510790768,0.11922887152149564,0.22399663925170898,0.8423875593003772,0.8831990698973338,0.11900922510790768,0.7354737057572319,0.08821732460229566,0.13987001094022436,0.14010359208498682,0.23647981882095337,0.992836541505087,0.9860031244300661,0.13987001094022436,0.9669017570359366,0.13514388944936062,0.16363028879499153,0.16385192661767914,0.24184012413024902,1.1630440070515586,1.1294463010061355,0.16363028879499153,1.2976245329493568,0.21207030459586249,1.000072900738035,0.694377334912618,1.3567922728402273,0.17851480199467568
7,0.11647078321809974,0.11660302008191745,0.22399663925170898,0.8402882351761772,0.8810468177000682,0.11647078321809974,0.7315978212015969,0.08591619756675183,0.13702975892635624,0.1371615096926689,0.23647981882095337,0.9917402389503661,0.984970706417447,0.13702975892635624,0.9644435067971547,0.13211234365214453,0.16082663950288578,0.16096378745777265,0.24184012413024902,1.166066678932735,1.1324485937754314,0.16082663950288578,1.3039586646216257,0.20939359326378337,1.0000551195371719,0.6945420216946375,1.3599114588328771,0.17533801384270192
8,0.11371087494114654,0.11380818078205698,0.22399663925170898,0.8385722007070269,0.879285493634996,0.11371087494114654,0.7284684947558812,0.08360612633910496,0.13391542014928812,0.13401345369361695,0.23647981882095337,0.9912170722371056,0.9844972797802516,0.13391542014928812,0.9630952633562542,0.1289057691529909,0.1575340795818539,0.15762367369163605,0.24184012413024902,1.1682556634857542,1.1346295827911013,0.1575340795818539,1.308436211517879,0.20577639749376436,1.0000529783112662,0.6936011146931421,1.3598395813079107,0.171594428244446
9,0.10942741450920487,0.10950271982167448,0.22399663925170898,0.8348041474819183,0.8754261939298539,0.10942741450920487,0.7214079581555866,0.07977104217266427,0.12933596452635726,0.12941482255146616,0.23647981882095337,0.9908512106963566,0.9842375695705414,0.12933596452635726,0.9616090030897231,0.1241996465774119,0.15275358032612574,0.1528438575565815,0.24184012413024902,1.1725584302629743,1.138925786245437,0.15275358032612574,1.316983025414603,0.20086250259149332,1.0000639515263694,0.6893374698502677,1.365796034676688,0.16602080832457258
10,0.1063195868399725,0.10630672550981952,0.22399663925170898,0.8324239532152812,0.8729891283171517,0.1063195868399725,0.7169306261198861,0.07689118453733462,0.12600091392058504,0.12597204982524826,0.23647981882095337,0.9899156842912946,0.9833731546288444,0.12600091392058504,0.9593668571540288,0.12069048862911513,0.14948389966573034,0.1494257131502742,0.24184012413024902,1.1758149618194216,1.1421650665146963,0.14948389966573034,1.3237024999800182,0.19778566408360768,1.000072006952195,0.6936999164876484,1.383288588410332,0.1622655668695058
11,0.10203444631547448,0.10223786483208339,0.22399663925170898,0.8268546552885147,0.8672752630142938,0.10203444631547448,0.706648779199237,0.07275190647483591,0.12158739668401805,0.12188954963570549,0.23647981882095337,0.9891647517681121,0.982770330849148,0.12158739668401805,0.9569815814495086,0.11619352938316223,0.14515039602383262,0.145472349829617,0.24184012413024902,1.182014608950842,1.14835437252408,0.14515039602383262,1.336369622321356,0.193848095873686,1.0000624179840087,0.6927606633731297,1.374679902621678,0.15726593379818257
12,0.0992201433325427,0.09935043512710504,0.22399663925170898,0.8264543527648562,0.8668684913998559,0.0992201433325427,0.7058556701455797,0.0706735112376623,0.11823545169958657,0.11838092732997167,0.23647981882095337,0.9883993094875699,0.9820256769657135,0.11823545169958657,0.9553720653057098,0.11275953925194022,0.14143067255970979,0.14156324675395376,0.24184012413024902,1.183170595623198,1.1494949000222343,0.14143067255970979,1.338772243545169,0.1892729759398824,1.0000710257462093,0.6916414144493285,1.3853795312699817,0.15309258852863594
13,0.09885372378324207,0.09880567031602065,0.22399663925170898,0.8270179234799885,0.8674421472208841,0.09885372378324207,0.7069454142025539,0.07040445026361888,0.11769238790791285,0.11772615412871043,0.23647981882095337,0.9883978781246003,0.9820054346606845,0.11769238790791285,0.9555703151793707,0.11228741286739992,0.14065228269125024,0.1407450103334018,0.24184012413024902,1.1824608780088879,1.1487855882871718,0.14065228269125024,1.3374842467762176,0.1881787212117123,1.0000766822269984,0.6920432590302967,1.391130953175681,0.15236557529618341
