epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,difficulty_level_h10,difficulty_level_h3,difficulty_level_h6,ema_loss_h10,ema_loss_h3,ema_loss_h6,initial_loss_h10,initial_loss_h3,initial_loss_h6,raw_loss_h10,raw_loss_h3,raw_loss_h6,relative_training_rate_h10,relative_training_rate_h3,relative_training_rate_h6,site_loss,skipped_all_invalid_batch,val_difficulty_level_h10,val_difficulty_level_h3,val_difficulty_level_h6,val_ema_loss_h10,val_ema_loss_h3,val_ema_loss_h6,val_granularity_loss_h10,val_granularity_loss_h3,val_granularity_loss_h6,val_granularity_weight_h10,val_granularity_weight_h3,val_granularity_weight_h6,val_initial_loss_h10,val_initial_loss_h3,val_initial_loss_h6,val_official_score_h10,val_official_score_h3,val_official_score_h6,val_raw_loss_h10,val_raw_loss_h3,val_raw_loss_h6,val_relative_training_rate_h10,val_relative_training_rate_h3,val_relative_training_rate_h6,val_site_loss,val_site_weight_max,val_site_weight_mean,val_site_weight_min,val_skipped_all_invalid_batch,val_weighted_contribution_h10,val_weighted_contribution_h3,val_weighted_contribution_h6,weighted_contribution_h10,weighted_contribution_h3,weighted_contribution_h6
1,0.5476557115713755,0.6365390419960022,143.86289299858942,153.49097642513183,-9.144485330583992,19.35191401902073,129.43685155557404,140.85101214076,-6.760750517524505,17.710796655600777,122.72300314601463,134.70766135832295,-5.8375476966260225,16.75404663466871,16.75404663466871,True,0,0.001,0.5492258999729529,0.5476557115713755,0.46445270379384357,0.45582948128382367,0.45109784603118896,1.018259088198344,0.9943544268608093,0.9873864054679871,1.0000000198682149,1.027185042699178,0.985427180926005,0,0,0,0,0,0.9992146293322245,1.000976840655009,0.9998084902763367,0.9005890488624573,0.9020819664001465,0.9010929663976034,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.45109784603118896,0.46445270379384357,0.45582948128382367,0.9881712992986044,1.0172738234202068,0.9945548375447592,0.452215443054835,0.0,0.9979015588760376,1.0025426149368286,0.9995556473731995,0.8501695394515991,0.8541234731674194,0.8515787720680237,0.48166558146476746,0.611147940158844,0.522822916507721,0.9847627878189087,1.021415114402771,0.9938220977783203,0.4806140661239624,0.46768784523010254,0.47781306505203247,16.75404663466871,19.35191401902073,17.710796655600777,0.48166558146476746,0.611147940158844,0.522822916507721,0.986859142780304,1.0188510417938232,0.9942896366119385,0.4857701063156128,1.038245439529419,1.0,0.978962242603302,0.0,0.4743263407996601,0.6242357432143635,0.5195929676502828,0.44550432943524854,0.47286435125827114,0.4532692204686981
2,0.4385030269622803,0.584557294845581,136.68109639485678,146.9273741329401,-8.2954357806642,18.394199630563374,122.11743553648604,134.36568618808525,-6.062533600029109,16.744874638321882,115.19513428764505,128.0971362694299,-5.182934097878868,15.76541811589191,15.76541811589191,True,0,0.001,0.44148489995859563,0.4385030269622803,0.3704741696516673,0.36215101679166156,0.3630915780862172,1.0232627391815186,0.9922290245691935,0.9845081567764282,0.999999980131785,1.0712318420410156,0.9598609606424967,0,0,0,0,0,0.9977807005246481,1.003456751505534,0.9987625678380331,0.7622599601745605,0.7665426731109619,0.7630004485448202,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.3630915780862172,0.3704741696516673,0.36215101679166156,0.9867328604062399,1.0197731653849285,0.993493914604187,0.36597801248232525,0.0,0.9972946047782898,1.004230260848999,0.998475193977356,0.7171133756637573,0.7221004962921143,0.7179622650146484,0.43947556614875793,0.5656791925430298,0.48034223914146423,0.9835334420204163,1.0248239040374756,0.9916426539421082,0.4806140661239624,0.46768784523010254,0.47781306505203247,15.76541811589191,18.394199630563374,16.744874638321882,0.43947556614875793,0.5656791925430298,0.48034223914146423,0.9862457513809204,1.020552635192871,0.9932016134262085,0.4423057436943054,1.0851095914840698,1.0,0.9497034549713135,0.0,0.432238916258159,0.5797215585347146,0.4763278528227364,0.3574896199891236,0.37908472264718185,0.3593479209393446
3,0.36790897448857623,0.5341427326202393,129.41752200656467,140.4352406128204,-7.492127894269917,17.42709211888711,114.56052436558068,127.82184797313559,-5.391370036924468,15.755405001624624,107.36954881370319,121.4166029286012,-4.5548448248557385,14.746866809786438,14.746866809786438,True,0,0.001,0.2750095999799669,0.36790897448857623,0.3109322090943654,0.3016652911901474,0.3050689101219177,1.0266696214675903,0.9897536238034567,0.9835766553878784,0.999999980131785,1.1192228396733601,0.931772768497467,0,0,0,0,0,0.9973251620928446,1.0051424900690715,0.9975324074427286,0.6431616346041361,0.6481617093086243,0.6433050036430359,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.3050689101219177,0.3109322090943654,0.3016652911901474,0.9862696131070455,1.021472970644633,0.9922573963801066,0.30973000824451447,0.0,0.9972821474075317,1.0059857368469238,0.9967321157455444,0.6044157147407532,0.6096906065940857,0.6040823459625244,0.3981491029262543,0.5216993093490601,0.43866166472435,0.9834752678871155,1.0283747911453247,0.9881496429443359,0.4806140661239624,0.46768784523010254,0.47781306505203247,14.746866809786438,17.42709211888711,15.755405001624624,0.3981491029262543,0.5216993093490601,0.43866166472435,0.9862210750579834,1.022323727607727,0.9914553165435791,0.40148767828941345,1.1313772201538086,0.9999999403953552,0.9209629893302917,0.0,0.39156979565941263,0.5365024182924998,0.43346336737073443,0.3000507019591107,0.3192068608716407,0.2986313228103654
4,0.31918105483055115,0.4800828695297241,121.11171637641058,133.12186856705102,-6.630678055875356,16.32315506018749,106.0204909304355,120.45657307958605,-4.676031349174947,14.636397929023744,98.72080253246968,113.9733081604256,-3.894654981054998,13.614355137431168,13.614355137431168,True,0,0.001,0.26419040001928806,0.31918105483055115,0.26614965001742047,0.26058419545491535,0.2666216790676117,1.0286485354105632,0.9861570596694946,0.9851943651835123,1.0,1.164393424987793,0.9002789855003357,0,0,0,0,0,0.9981535275777181,1.0061194896697998,0.9957271416982015,0.5440922180811564,0.5484255949656168,0.5427868366241455,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.2666216790676117,0.26614965001742047,0.26058419545491535,0.9870834151903788,1.0224603414535522,0.990456223487854,0.27344953020413715,0.0,0.9988536238670349,1.0060206651687622,0.9951257109642029,0.511925458908081,0.5155986547470093,0.5100148320198059,0.35384654998779297,0.4735044836997986,0.39324575662612915,0.9865803122520447,1.028449535369873,0.9849700927734375,0.4806140661239624,0.46768784523010254,0.47781306505203247,13.614355137431168,16.32315506018749,14.636397929023744,0.35384654998779297,0.4735044836997986,0.39324575662612915,0.987777829170227,1.0223621129989624,0.9898599982261658,0.3613998293876648,1.1746819019317627,1.0,0.8880407214164734,0.0,0.3490980397762655,0.4869754662566095,0.38733530938679905,0.2626141353531614,0.2738482126756689,0.2570110786890609
5,0.2717931071917216,0.4231504201889038,111.70613267686632,125.00113218028586,-5.728096532688242,15.076418829712493,96.61904885582891,112.34811761552689,-3.9375940240692744,13.399104771654327,89.68983684813423,105.85482666984697,-3.2221835234664384,12.406416197167701,12.406416197167701,True,0,0.001,0.3340267000021413,0.2717931071917216,0.22052831947803497,0.2205254832903544,0.2308495044708252,1.0248990456263225,0.9835274616877238,0.9915734926859537,0.999999980131785,1.2036192814509075,0.8661727507909139,0,0,0,0,0,1.0013582706451416,1.0042635599772136,0.9943780899047852,0.46120641628901166,0.4625813166300456,0.45802590250968933,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.2308495044708252,0.22052831947803497,0.2205254832903544,0.9902720252672831,1.0205942392349243,0.9891337156295776,0.23919619619846344,0.0,1.0034723281860352,1.0029524564743042,0.9935752153396606,0.4351397752761841,0.43491432070732117,0.43084803223609924,0.3078625798225403,0.42182645201683044,0.3452824652194977,0.9957869052886963,1.0222489833831787,0.9819640517234802,0.4806140661239624,0.46768784523010254,0.47781306505203247,12.406416197167701,15.076418829712493,13.399104771654327,0.3078625798225403,0.42182645201683044,0.3452824652194977,0.9923760294914246,1.0192755460739136,0.9883484244346619,0.321031779050827,1.2077069282531738,1.0,0.8560264706611633,0.0,0.3065655256156816,0.43121166173833814,0.3390549685360096,0.2287941955404816,0.22612737278289372,0.2169400262078612
6,0.24996015429496765,0.36798301339149475,101.68132951524522,116.53577745261202,-4.847670272912341,13.753622590891325,86.96620037538786,104.0403875860751,-3.2343592462279185,12.130342709806344,80.66226363685061,97.63569057017799,-2.5919723141366595,11.208447026266088,11.208447026266088,True,0,0.001,0.2318411999149248,0.24996015429496765,0.2018513878186544,0.19988061984380087,0.21357227861881256,1.0191456874211628,0.9787575205167135,1.0020967324574788,0.999999980131785,1.2377054293950398,0.8370459079742432,0,0,0,0,0,1.0066365400950115,1.0014198621114094,0.9919437170028687,0.39508400360743207,0.39306387305259705,0.3893555204073588,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.21357227861881256,0.2018513878186544,0.19988061984380087,0.9955223202705383,1.0177354017893474,0.986742377281189,0.22401573260625204,0.0,1.0093445777893066,1.0000251531600952,0.9906303286552429,0.37463584542274475,0.37117674946784973,0.36768969893455505,0.2640402019023895,0.3703344762325287,0.2986563444137573,1.0075032711029053,1.0163183212280273,0.9761784076690674,0.4806140661239624,0.46768784523010254,0.47781306505203247,11.208447026266088,13.753622590891325,12.130342709806344,0.2640402019023895,0.3703344762325287,0.2986563444137573,0.9982157349586487,1.0163334608078003,0.9854509234428406,0.2833468019962311,1.2422465085983276,1.0,0.8271556496620178,0.0,0.266021367119329,0.37637771317750435,0.2915418747300862,0.2138915259435811,0.20589107562017914,0.19568841417239233
7,0.2257909228404363,0.31832265853881836,91.9247809516059,108.26261363214444,-4.046860907681621,12.461283005935433,78.293562219498,96.078486334601,-2.6110714615539843,10.971608882227715,72.58542758603639,89.87603095989017,-2.043711927978587,10.153772652563617,10.153772652563617,True,0,0.001,0.25113989994861186,0.2257909228404363,0.17999533067146936,0.17934616903463999,0.19398872057596842,1.0121512810389202,0.9726696411768595,1.0151791175206502,0.9999999403953552,1.2806732257207234,0.8086844881375631,0,0,0,0,0,1.013179898262024,0.9979711771011353,0.9888490239779154,0.341989129781723,0.3368793725967407,0.33380576968193054,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.19398872057596842,0.17999533067146936,0.17934616903463999,1.002030869325002,1.014268398284912,0.983700672785441,0.20611576735973358,0.0,1.0161596536636353,0.9961042404174805,0.9877361059188843,0.3253023624420166,0.3188820481300354,0.31620314717292786,0.22533109784126282,0.3225344121456146,0.2566021978855133,1.0211539268493652,1.0083638429641724,0.9704822301864624,0.4806140661239624,0.46768784523010254,0.47781306505203247,10.153772652563617,12.461283005935433,10.971608882227715,0.22533109784126282,0.3225344121456146,0.2566021978855133,1.0049970149993896,1.012390375137329,0.9826123118400574,0.2510172426700592,1.2926355600357056,0.9999999403953552,0.8005954623222351,0.0,0.23009773540188405,0.3252320393193422,0.2490278732746809,0.19681641429561894,0.1824088497681838,0.17447803942332682
8,0.22029253840446472,0.277310848236084,83.83934190538194,100.86625669119022,-3.3808272541332434,11.362493111555859,71.6233953381261,89.10716932989028,-2.1060545128826886,10.059643723129373,66.5757307221618,83.22115417685194,-1.609655891641204,9.360509388061695,9.360509388061695,True,0,0.001,0.3335209999931976,0.22029253840446472,0.17331068714459738,0.1738375723361969,0.19023876388867697,1.0027251442273457,0.9661522706349691,1.0311226050059001,0.9999999602635702,1.3310981194178264,0.7821032603581747,0,0,0,0,0,1.021122694015503,0.993330180644989,0.9855473438898722,0.30059076348940533,0.29243187109629315,0.2901383638381958,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.19023876388867697,0.17331068714459738,0.1738375723361969,1.0099354187647502,1.0096007982889812,0.9804639021555582,0.2048058807849884,0.0,1.024168610572815,0.9910018444061279,0.9848297238349915,0.2885183095932007,0.27917492389678955,0.27743616700172424,0.19433632493019104,0.28220227360725403,0.22210432589054108,1.037260890007019,0.9980089068412781,0.9647302031517029,0.4806140661239624,0.46768784523010254,0.47781306505203247,9.360509388061695,11.362493111555859,10.059643723129373,0.19433632493019104,0.28220227360725403,0.22210432589054108,1.0129708051681519,1.007257103919983,0.9797722101211548,0.22407329082489014,1.3624337911605835,0.9999998807907104,0.774487316608429,0.0,0.2015774693577832,0.28164038259089885,0.21427075143725371,0.1961057790076494,0.1739281082402974,0.1679601996013481
9,0.19527397056420645,0.24578022956848145,77.61723327636719,94.76322110002988,-2.866730905784116,10.511707824915725,66.71336029269172,83.46549090723853,-1.725195620759671,9.391013020309773,62.028186138169175,77.92433958700393,-1.288031696403083,8.770876656843921,8.770876656843921,True,0,0.001,0.25218180008232594,0.19527397056420645,0.1535534461339315,0.1535539155205091,0.16817832986513773,0.9940552115440369,0.961425801118215,1.0445189476013184,1.0,1.3884327014287312,0.7533307274182638,0,0,0,0,0,1.0277704397837322,0.9890606800715128,0.9831688006718954,0.26673890153567,0.25670769313971203,0.25518279771010083,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.16817832986513773,0.1535534461339315,0.1535539155205091,1.0165547132492065,1.0053051312764485,0.9781403144200643,0.1829098512729009,0.0,1.0308858156204224,0.9870375394821167,0.9820766448974609,0.25566476583480835,0.244790181517601,0.2435598522424698,0.17113442718982697,0.2507196366786957,0.19580397009849548,1.050808072090149,0.9899426102638245,0.9592492580413818,0.4806140661239624,0.46768784523010254,0.47781306505203247,8.770876656843921,10.511707824915725,9.391013020309773,0.17113442718982697,0.2507196366786957,0.19580397009849548,1.0196568965911865,1.0032694339752197,0.9770737290382385,0.20248064398765564,1.4063776731491089,0.9999998807907104,0.7502737641334534,0.0,0.17982943750359404,0.2481980515781057,0.1878248130385387,0.17559060745460484,0.15283452508805015,0.1476508520847292
10,0.18785377343495688,0.2224072515964508,73.00086975097656,89.95906711632698,-2.4846102278912587,9.886397680974428,63.009853498310065,79.10443803253858,-1.4478538102134886,8.898939262222468,58.63284314634428,73.87584984451152,-1.056462316506484,8.334362327221292,8.334362327221292,True,0,0.001,0.25411600002553314,0.18785377343495688,0.14693774531284967,0.14756765713294348,0.1618285079797109,0.9845844308535258,0.9572004079818726,1.0582151412963867,0.9999999205271403,1.4303553501764934,0.7311112880706787,0,0,0,0,0,1.0345454216003418,0.9843948483467102,0.9810596307118734,0.23873034616311392,0.22717031836509705,0.2264031320810318,0.4806140661239624,0.46768784523010254,0.47781306505203247,0.1618285079797109,0.14693774531284967,0.14756765713294348,1.0233033100763957,1.000609298547109,0.9760873317718506,0.1772440473238627,0.0,1.0371742248535156,0.9831365942955017,0.9796888828277588,0.23003080487251282,0.21804599463939667,0.21728134155273438,0.15429569780826569,0.22708654403686523,0.17649295926094055,1.0635285377502441,0.98200523853302,0.9544661045074463,0.4806140661239624,0.46768784523010254,0.47781306505203247,8.334362327221292,9.886397680974428,8.898939262222468,0.15429569780826569,0.22708654403686523,0.17649295926094055,1.0259181261062622,0.999344527721405,0.9747374057769775,0.18611180782318115,1.4434447288513184,0.9999998807907104,0.7220085263252258,0.0,0.16409787787117835,0.223000175844561,0.16845654729878135,0.1711796777778082,0.14474281413230283,0.14129238696416557
