horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,39.117,51.327,-0.043,0.044,0.043,5.423,5.423,5.423,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,False
6,49.711,64.738,-0.515,0.055,0.053,7.058,7.058,7.058,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,False
10,69.863,87.202,-1.339,0.077,0.073,10.013,10.013,10.013,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,False
