node_index,site_weight,ema_node_loss
0,1.1071677207946777,0.11171694099903107
1,0.7914884686470032,0.07986383885145187
2,1.235457420349121,0.12466180324554443
3,1.166691541671753,0.11772309243679047
4,1.0191900730133057,0.10283969342708588
5,1.1726772785186768,0.1183270663022995
6,1.0222069025039673,0.10314410924911499
7,1.1003940105438232,0.11103344708681107
8,1.120866060256958,0.11309914290904999
9,1.0561002492904663,0.10656405240297318
10,1.137643814086914,0.11479207128286362
11,1.0401161909103394,0.10495121777057648
12,1.0542103052139282,0.10637335479259491
13,1.100311040878296,0.11102508008480072
14,1.0777579545974731,0.1087493896484375
15,0.9630102515220642,0.09717096388339996
16,0.9903306365013123,0.09992768615484238
17,0.948249876499176,0.09568159282207489
18,1.1428961753845215,0.1153220534324646
19,0.8959012031555176,0.09039943665266037
20,1.0467286109924316,0.1056184247136116
21,1.2051211595535278,0.12160076200962067
22,1.208254098892212,0.12191689759492874
23,1.0536799430847168,0.1063198372721672
24,1.1099451780319214,0.11199718713760376
25,1.000871181488037,0.10099126398563385
26,1.2320061922073364,0.12431355565786362
27,1.1038000583648682,0.11137712746858597
28,1.2324893474578857,0.12436231225728989
29,1.1202419996261597,0.11303617805242538
30,1.220664620399475,0.12316915392875671
31,1.0789045095443726,0.10886508971452713
32,1.11814546585083,0.11282462626695633
33,1.1199802160263062,0.11300976574420929
34,1.0756646394729614,0.1085381731390953
35,1.1420248746871948,0.1152341440320015
36,1.0458117723464966,0.1055259183049202
37,1.0351927280426025,0.1044544130563736
38,1.2400450706481934,0.1251247078180313
39,1.1256581544876099,0.11358268558979034
40,1.07839834690094,0.10881400853395462
41,1.0699318647384644,0.10795971006155014
42,0.9037182927131653,0.0911882072687149
43,1.0701148509979248,0.10797817260026932
44,1.1658098697662354,0.1176341250538826
45,1.087533712387085,0.10973579436540604
46,1.1438466310501099,0.1154179647564888
47,0.9675631523132324,0.09763036668300629
48,1.0330592393875122,0.10423914343118668
49,1.054382562637329,0.10639073699712753
50,1.0863312482833862,0.10961446166038513
51,1.1696163415908813,0.11801820993423462
52,1.0239402055740356,0.10331899672746658
53,1.0229228734970093,0.10321635007858276
54,0.9886030554771423,0.09975336492061615
55,0.989425003528595,0.0998363047838211
56,0.9880913496017456,0.09970173239707947
57,0.9916226863861084,0.10005805641412735
58,1.129745364189148,0.11399509757757187
59,1.1387580633163452,0.1149045079946518
60,1.0524475574493408,0.10619549453258514
61,0.9604021310806274,0.09690779447555542
62,1.032415509223938,0.1041741892695427
63,0.9304476976394653,0.09388529509305954
64,0.9585073590278625,0.09671660512685776
65,0.961464524269104,0.09701499342918396
66,0.8816547989845276,0.08896192908287048
67,0.9097912907600403,0.0918009951710701
68,1.1510981321334839,0.1161496639251709
69,1.127303123474121,0.11374866217374802
70,1.1024655103683472,0.11124247312545776
71,1.0373585224151611,0.10467295348644257
72,0.9653136134147644,0.097403384745121
73,1.0252195596694946,0.10344809293746948
74,1.0452446937561035,0.10546869039535522
75,0.9214506149291992,0.09297745674848557
76,0.8629948496818542,0.08707907795906067
77,0.8780983090400696,0.08860306441783905
78,0.946975827217102,0.09555304050445557
79,1.015521764755249,0.1024695560336113
80,0.9528282880783081,0.09614357352256775
81,0.863610565662384,0.08714120090007782
82,0.9914689064025879,0.10004253685474396
83,1.0520579814910889,0.10615618526935577
84,0.804284930229187,0.08115504682064056
85,0.954972505569458,0.09635993093252182
86,0.9171696305274963,0.09254549443721771
87,1.1078490018844604,0.11178568005561829
88,0.9809947609901428,0.09898566454648972
89,0.9224973917007446,0.09308308362960815
90,0.9747074246406555,0.09835124760866165
91,0.742613673210144,0.07493221014738083
92,0.7450845241546631,0.07518152892589569
93,0.676913857460022,0.06830287724733353
94,0.9982608556747437,0.1007278710603714
95,0.831639289855957,0.08391519635915756
96,0.8007261753082275,0.08079595863819122
97,0.9461275935173035,0.0954674482345581
98,0.7316963076591492,0.07383061200380325
99,0.796043872833252,0.08032349497079849
100,0.9963786602020264,0.10053794831037521
101,0.9795175194740295,0.09883660078048706
102,0.9005716443061829,0.090870700776577
103,1.0286890268325806,0.10379817336797714
104,0.9866077303886414,0.09955202788114548
105,0.9410347938537598,0.09495356678962708
106,0.9530962705612183,0.09617061167955399
107,1.0619271993637085,0.10715202242136002
108,0.8822882175445557,0.0890258401632309
109,0.9697756171226501,0.09785361588001251
110,0.9347641468048096,0.09432084113359451
111,0.9018191695213318,0.09099657833576202
112,0.8684963583946228,0.08763419836759567
113,0.9971451759338379,0.10061529278755188
114,0.7638481259346008,0.07707484066486359
115,0.8220444917678833,0.08294704556465149
116,0.8205398917198181,0.08279522508382797
117,1.2044397592544556,0.12153200805187225
118,0.9930887818336487,0.10020598769187927
119,0.8314355611801147,0.08389464020729065
120,0.8713558912277222,0.08792272955179214
121,0.8244616389274597,0.08319094777107239
122,0.9498410820960999,0.0958421528339386
123,0.8271701335906982,0.08346424251794815
124,0.949434220790863,0.09580110013484955
125,0.907522976398468,0.0915721133351326
126,0.8810036182403564,0.08889622241258621
127,0.878815770149231,0.08867546170949936
128,0.9321019649505615,0.09405221790075302
129,0.9035782814025879,0.09117408096790314
130,1.0606465339660645,0.10702279210090637
131,0.9949418306350708,0.10039296746253967
132,0.9834751486778259,0.09923594444990158
133,0.8791125416755676,0.0887054055929184
