TurbID,node_index,micro_degree,macro_degree,neighbor_jaccard_micro_macro,global_support_jaccard_micro_macro,fit_split,micro_edge_length_mean,micro_edge_length_q90,macro_edge_length_mean,macro_edge_length_q90,distance_edge_length_mean,distance_edge_length_q90
1,0,7,7,1.0,0.875,train,4.084066416745578,6.404509082864204,4.084066416745578,6.404509082864204,3.1156043762055337,4.66223408087365
2,1,6,7,0.8571428571428571,0.875,train,2.7137268500947034,4.506601556913838,3.1913608568683616,5.4297251554945225,2.2541858212835115,3.6133193997501265
3,2,6,7,0.8571428571428571,0.875,train,2.219542132665909,3.5353369668385493,2.6367763871172696,4.49258193576276,1.8512808357882284,2.6738190039825813
4,3,6,7,0.8571428571428571,0.875,train,2.067121519919064,3.1406613144303304,2.3748355900036695,3.5853398433424517,1.848248544190233,2.698305605831649
5,4,5,7,0.7142857142857143,0.875,train,1.8450634267722639,2.675365516121865,2.368751220171664,3.5931546589376415,1.8450634267722639,2.675365516121865
6,5,6,7,0.8571428571428571,0.875,train,2.4075977563148396,4.022757416595171,2.635336808223722,4.415338478433231,1.8819794042642968,2.6914310287405927
7,6,7,7,1.0,0.875,train,3.221469555244128,5.407522933265703,3.221469555244128,5.407522933265703,2.3074391101239935,3.684443662351564
8,7,6,7,0.8571428571428571,0.875,train,3.825375371961673,6.074482804039274,4.14420244704005,6.437812416207434,3.1886937075033845,4.77255715249978
