split,TurbID,node_index,horizon,Score,MAE,RMSE,valid_target_count,reference_val_score_h10,reference_val_rank_desc,hard_turbine_threshold_val_score_h10,is_top10pct_hard_turbine,hard_group_rule
val,1,0,3,0.11891624748585666,117.70045823317308,125.61422710623151,26,0.13911648344995792,4,0.14221630605862978,False,top_1_by_validation_H10_Score
val,1,0,6,0.1281495288760245,126.93602341871996,133.81349165692103,52,0.13911648344995792,4,0.14221630605862978,False,top_1_by_validation_H10_Score
val,1,0,10,0.13911648344995792,137.84002326516543,143.3446940182591,85,0.13911648344995792,4,0.14221630605862978,False,top_1_by_validation_H10_Score
val,2,1,3,0.1190463973772594,117.78624810112848,127.56459235649999,27,0.1382460921036507,5,0.14221630605862978,False,top_1_by_validation_H10_Score
val,2,1,6,0.1284594175495554,127.00763843677662,135.2581206637963,54,0.1382460921036507,5,0.14221630605862978,False,top_1_by_validation_H10_Score
val,2,1,10,0.1382460921036507,136.584811062283,143.65885417936286,90,0.1382460921036507,5,0.14221630605862978,False,top_1_by_validation_H10_Score
val,3,2,3,0.11332463515154784,112.26165093315973,121.2827130477178,27,0.13311302879451556,8,0.14221630605862978,False,top_1_by_validation_H10_Score
val,3,2,6,0.12308305399193739,121.72444096317997,130.2243856738247,54,0.13311302879451556,8,0.14221630605862978,False,top_1_by_validation_H10_Score
val,3,2,10,0.13311302879451556,131.3915791829427,138.83477902552508,90,0.13311302879451556,8,0.14221630605862978,False,top_1_by_validation_H10_Score
val,4,3,3,0.11787722612154666,116.02721489800348,126.67864898728443,27,0.13630640098543637,7,0.14221630605862978,False,top_1_by_validation_H10_Score
val,4,3,6,0.12654249460469705,124.69410196940105,133.53345327115187,54,0.13630640098543637,7,0.14221630605862978,False,top_1_by_validation_H10_Score
val,4,3,10,0.13630640098543637,134.39746500651043,141.29273529843346,90,0.13630640098543637,7,0.14221630605862978,False,top_1_by_validation_H10_Score
val,5,4,3,0.12144259606066507,120.51832184968171,128.58099196807305,27,0.1397208531818469,2,0.14221630605862978,False,top_1_by_validation_H10_Score
val,5,4,6,0.1303425063644699,129.19763296621818,135.73422760830718,54,0.1397208531818469,2,0.14221630605862978,False,top_1_by_validation_H10_Score
val,5,4,10,0.1397208531818469,138.30718383789062,143.67989785936257,90,0.1397208531818469,2,0.14221630605862978,False,top_1_by_validation_H10_Score
val,6,5,3,0.11621659134227505,115.54106083622685,124.29978581875977,27,0.13804568142673415,6,0.14221630605862978,False,top_1_by_validation_H10_Score
val,6,5,6,0.1255910471936951,124.55496667932582,132.37780172021658,54,0.13804568142673415,6,0.14221630605862978,False,top_1_by_validation_H10_Score
val,6,5,10,0.13804568142673415,136.40662773980034,143.28134063081,90,0.13804568142673415,6,0.14221630605862978,False,top_1_by_validation_H10_Score
val,7,6,3,0.11902331306446652,118.17762134693287,127.63160432682108,27,0.14221630605862978,1,0.14221630605862978,True,top_1_by_validation_H10_Score
val,7,6,6,0.12986929258323232,128.59568956163196,136.39390915306038,54,0.14221630605862978,1,0.14221630605862978,True,top_1_by_validation_H10_Score
val,7,6,10,0.14221630605862978,140.42593858506945,146.73119809936853,90,0.14221630605862978,1,0.14221630605862978,True,top_1_by_validation_H10_Score
val,8,7,3,0.11948745170702975,118.62030933521412,127.16696117250062,27,0.1394940619383398,3,0.14221630605862978,False,top_1_by_validation_H10_Score
val,8,7,6,0.12875664992300503,127.65772614655671,134.97963597001882,54,0.1394940619383398,3,0.14221630605862978,False,top_1_by_validation_H10_Score
val,8,7,10,0.1394940619383398,138.0895236545139,144.00391777093486,90,0.1394940619383398,3,0.14221630605862978,False,top_1_by_validation_H10_Score
test,1,0,3,0.14835950166162204,148.5708211263021,151.12427886259454,75,0.13911648344995792,4,0.14221630605862978,False,top_1_by_validation_H10_Score
test,1,0,6,0.14969346663937183,149.4398253591437,152.2677143882027,152,0.13911648344995792,4,0.14221630605862978,False,top_1_by_validation_H10_Score
test,1,0,10,0.14981978864203743,148.8256950378418,152.7179640289909,256,0.13911648344995792,4,0.14221630605862978,False,top_1_by_validation_H10_Score
test,2,1,3,0.1500745771494047,149.41163842472028,152.25638525382746,81,0.1382460921036507,5,0.14221630605862978,False,top_1_by_validation_H10_Score
test,2,1,6,0.15123824940892522,150.3716547459732,153.50671696994854,162,0.1382460921036507,5,0.14221630605862978,False,top_1_by_validation_H10_Score
test,2,1,10,0.1511857715190646,150.12825814706306,153.9199345304325,270,0.1382460921036507,5,0.14221630605862978,False,top_1_by_validation_H10_Score
test,3,2,3,0.1461109316278489,145.72716757691936,147.5879376953466,81,0.13311302879451556,8,0.14221630605862978,False,top_1_by_validation_H10_Score
test,3,2,6,0.1485196309038455,147.96904575677564,149.93583096394485,162,0.13311302879451556,8,0.14221630605862978,False,top_1_by_validation_H10_Score
test,3,2,10,0.14809369039446282,147.2078238028067,150.3220063137548,270,0.13311302879451556,8,0.14221630605862978,False,top_1_by_validation_H10_Score
test,4,3,3,0.14956878915322,149.1288158275463,150.9205553687951,81,0.13630640098543637,7,0.14221630605862978,False,top_1_by_validation_H10_Score
test,4,3,6,0.15054681488446475,149.97909169138214,152.00986925684904,162,0.13630640098543637,7,0.14221630605862978,False,top_1_by_validation_H10_Score
test,4,3,10,0.14964681688145395,148.8617517541956,151.83456055371045,270,0.13630640098543637,7,0.14221630605862978,False,top_1_by_validation_H10_Score
test,5,4,3,0.1493315546576558,148.89736071928047,150.29413905839888,81,0.1397208531818469,2,0.14221630605862978,False,top_1_by_validation_H10_Score
test,5,4,6,0.15035745629010344,149.62344812463832,151.60578348535367,162,0.1397208531818469,2,0.14221630605862978,False,top_1_by_validation_H10_Score
test,5,4,10,0.1499614122434673,148.91107991536458,151.93249469492284,270,0.1397208531818469,2,0.14221630605862978,False,top_1_by_validation_H10_Score
test,6,5,3,0.1552036974461128,154.82290310329861,156.57677669995712,81,0.13804568142673415,6,0.14221630605862978,False,top_1_by_validation_H10_Score
test,6,5,6,0.15707623917209676,156.55860053168402,158.4807562863546,162,0.13804568142673415,6,0.14221630605862978,False,top_1_by_validation_H10_Score
test,6,5,10,0.15627041514297263,155.68294089988427,158.10378197533154,270,0.13804568142673415,6,0.14221630605862978,False,top_1_by_validation_H10_Score
test,7,6,3,0.14827657888780796,147.63355396412038,150.3582317208235,81,0.14221630605862978,1,0.14221630605862978,True,top_1_by_validation_H10_Score
test,7,6,6,0.150094067724606,148.98450912663967,152.17910608752555,162,0.14221630605862978,1,0.14221630605862978,True,top_1_by_validation_H10_Score
test,7,6,10,0.1491585745406234,147.59874538845486,152.1285470477499,270,0.14221630605862978,1,0.14221630605862978,True,top_1_by_validation_H10_Score
test,8,7,3,0.14961623620477382,149.00892620322145,151.74899040191224,81,0.1394940619383398,3,0.14221630605862978,False,top_1_by_validation_H10_Score
test,8,7,6,0.15160081377163134,150.70786426685476,153.62699388526147,162,0.1394940619383398,3,0.14221630605862978,False,top_1_by_validation_H10_Score
test,8,7,10,0.1511055833765051,149.93252518265336,153.81603116074004,270,0.1394940619383398,3,0.14221630605862978,False,top_1_by_validation_H10_Score
