horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,89.505,133.176,0.898,0.596,0.630,8.885,8.885,8.885,1256027,2051808,0.612,1256027,MW_after_kW_to_MW_conversion,True,True
6,101.478,152.503,0.867,0.588,0.827,10.330,10.330,10.330,2512061,4103616,0.612,2512061,MW_after_kW_to_MW_conversion,True,True
10,113.785,170.604,0.833,0.593,1.117,11.876,11.876,11.876,4186848,6839360,0.612,4186848,MW_after_kW_to_MW_conversion,True,True
