horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,39.834,46.091,0.159,0.045,0.044,5.527,5.527,5.527,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,48.986,56.327,-0.147,0.055,0.053,6.824,6.824,6.824,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,66.205,75.748,-0.765,0.074,0.070,9.330,9.330,9.330,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
