variant_id,status,intervention_type,analysis_label,horizon,seed,split,sample_selection_rule,sample_count,node_selection,prediction_difference_mae_kw,prediction_difference_max_kw,baseline_MAE,intervention_MAE,MAE_delta,baseline_Score,intervention_Score,Score_delta,reason
N0,completed,horizon_zero,internal_sensitivity_analysis,3,2026,test,first_batches_in_chronological_order,3,all_nodes,18.926841735839844,43.8116455078125,37.73432514029489,41.47536500742738,3.7410398671324856,5.416288348796496,5.681324805321485,0.26503645652498875,
N0,completed,horizon_zero,internal_sensitivity_analysis,6,2026,test,first_batches_in_chronological_order,3,all_nodes,22.190088272094727,45.4447021484375,39.93846973339161,49.75197446596373,9.81350473257212,5.699501467366915,6.8910465106398044,1.1915450432728898,
N0,completed,horizon_zero,internal_sensitivity_analysis,10,2026,test,first_batches_in_chronological_order,3,all_nodes,21.108823776245117,45.4447021484375,55.52478767937696,66.82515930431158,11.30037162493462,8.019179855057239,9.358799175440483,1.3396193203832443,
N0,NOT_APPLICABLE,node_zero,internal_sensitivity_analysis,,,,,,,,,,,,,,,selected_prompt_component_is_absent
N0,completed,horizon_swap,internal_sensitivity_analysis,3,2026,test,first_batches_in_chronological_order,3,all_nodes,21.324106216430664,42.32452392578125,37.73432514029489,33.26113332829005,-4.473191812004842,5.416288348796496,4.654658783452612,-0.7616295653438847,
N0,completed,horizon_swap,internal_sensitivity_analysis,6,2026,test,first_batches_in_chronological_order,3,all_nodes,22.877010345458984,42.32452392578125,39.93846973339161,40.38483818427666,0.4463684508850534,5.699501467366915,5.740993038754753,0.0414915713878381,
N0,completed,horizon_swap,internal_sensitivity_analysis,10,2026,test,first_batches_in_chronological_order,3,all_nodes,21.299833297729492,42.32452392578125,55.52478767937696,54.46082845392586,-1.0639592254511,8.019179855057239,7.833403604366471,-0.18577625069076742,
N0,NOT_APPLICABLE,node_swap,internal_sensitivity_analysis,,,,,,,,,,,,,,,selected_prompt_component_is_absent
N0,completed,horizon_mean,internal_sensitivity_analysis,3,2026,test,first_batches_in_chronological_order,3,all_nodes,19.561351776123047,47.99029541015625,37.73432514029489,43.246540768045776,5.512215627750884,5.416288348796496,5.913669932153375,0.4973815833568791,
N0,completed,horizon_mean,internal_sensitivity_analysis,6,2026,test,first_batches_in_chronological_order,3,all_nodes,23.4230899810791,47.99029541015625,39.93846973339161,51.56822791466346,11.629758181271853,5.699501467366915,7.129754730593281,1.4302532632263665,
N0,completed,horizon_mean,internal_sensitivity_analysis,10,2026,test,first_batches_in_chronological_order,3,all_nodes,22.21492576599121,47.99029541015625,55.52478767937696,68.64753474151739,13.122747062140427,8.019179855057239,9.595914814439181,1.5767349593819429,
