variant_id,horizon_i,horizon_j,distance
N0,1,1,0.0
N0,1,2,9.16148567199707
N0,1,3,8.504692077636719
N0,1,4,7.8052592277526855
N0,1,5,8.259159088134766
N0,1,6,9.36535930633545
N0,1,7,8.954388618469238
N0,1,8,8.034223556518555
N0,1,9,8.629461288452148
N0,1,10,8.819779396057129
N0,2,1,9.16148567199707
N0,2,2,0.0
N0,2,3,9.990824699401855
N0,2,4,9.681241035461426
N0,2,5,9.504547119140625
N0,2,6,9.474676132202148
N0,2,7,10.26332950592041
N0,2,8,9.043023109436035
N0,2,9,9.387964248657227
N0,2,10,9.412520408630371
N0,3,1,8.504692077636719
N0,3,2,9.990824699401855
N0,3,3,0.0
N0,3,4,8.215642929077148
N0,3,5,8.342459678649902
N0,3,6,9.934163093566895
N0,3,7,9.918137550354004
N0,3,8,9.349924087524414
N0,3,9,9.25292682647705
N0,3,10,10.015965461730957
N0,4,1,7.8052592277526855
N0,4,2,9.681241035461426
N0,4,3,8.215642929077148
N0,4,4,0.0
N0,4,5,10.29605484008789
N0,4,6,10.543059349060059
N0,4,7,9.280771255493164
N0,4,8,9.74049186706543
N0,4,9,9.713912010192871
N0,4,10,9.619601249694824
N0,5,1,8.259159088134766
N0,5,2,9.504547119140625
N0,5,3,8.342459678649902
N0,5,4,10.29605484008789
N0,5,5,0.0
N0,5,6,9.849773406982422
N0,5,7,9.450824737548828
N0,5,8,7.570267677307129
N0,5,9,9.1815185546875
N0,5,10,8.985747337341309
N0,6,1,9.36535930633545
N0,6,2,9.474676132202148
N0,6,3,9.934163093566895
N0,6,4,10.543059349060059
N0,6,5,9.849773406982422
N0,6,6,0.0
N0,6,7,10.379788398742676
N0,6,8,10.061445236206055
N0,6,9,9.620893478393555
N0,6,10,8.515005111694336
N0,7,1,8.954388618469238
N0,7,2,10.26332950592041
N0,7,3,9.918137550354004
N0,7,4,9.280771255493164
N0,7,5,9.450824737548828
N0,7,6,10.379788398742676
N0,7,7,0.0
N0,7,8,10.374651908874512
N0,7,9,9.367304801940918
N0,7,10,9.5169038772583
N0,8,1,8.034223556518555
N0,8,2,9.043023109436035
N0,8,3,9.349924087524414
N0,8,4,9.74049186706543
N0,8,5,7.570267677307129
N0,8,6,10.061445236206055
N0,8,7,10.374651908874512
N0,8,8,0.0
N0,8,9,9.377467155456543
N0,8,10,7.982515811920166
N0,9,1,8.629461288452148
N0,9,2,9.387964248657227
N0,9,3,9.25292682647705
N0,9,4,9.713912010192871
N0,9,5,9.1815185546875
N0,9,6,9.620893478393555
N0,9,7,9.367304801940918
N0,9,8,9.377467155456543
N0,9,9,0.0
N0,9,10,8.816505432128906
N0,10,1,8.819779396057129
N0,10,2,9.412520408630371
N0,10,3,10.015965461730957
N0,10,4,9.619601249694824
N0,10,5,8.985747337341309
N0,10,6,8.515005111694336
N0,10,7,9.5169038772583
N0,10,8,7.982515811920166
N0,10,9,8.816505432128906
N0,10,10,0.0
N1,1,1,0.0
N1,1,2,0.0
N1,1,3,0.0
N1,1,4,0.0
N1,1,5,0.0
N1,1,6,0.0
N1,1,7,0.0
N1,1,8,0.0
N1,1,9,0.0
N1,1,10,0.0
N1,2,1,0.0
N1,2,2,0.0
N1,2,3,0.0
N1,2,4,0.0
N1,2,5,0.0
N1,2,6,0.0
N1,2,7,0.0
N1,2,8,0.0
N1,2,9,0.0
N1,2,10,0.0
N1,3,1,0.0
N1,3,2,0.0
N1,3,3,0.0
N1,3,4,0.0
N1,3,5,0.0
N1,3,6,0.0
N1,3,7,0.0
N1,3,8,0.0
N1,3,9,0.0
N1,3,10,0.0
N1,4,1,0.0
N1,4,2,0.0
N1,4,3,0.0
N1,4,4,0.0
N1,4,5,0.0
N1,4,6,0.0
N1,4,7,0.0
N1,4,8,0.0
N1,4,9,0.0
N1,4,10,0.0
N1,5,1,0.0
N1,5,2,0.0
N1,5,3,0.0
N1,5,4,0.0
N1,5,5,0.0
N1,5,6,0.0
N1,5,7,0.0
N1,5,8,0.0
N1,5,9,0.0
N1,5,10,0.0
N1,6,1,0.0
N1,6,2,0.0
N1,6,3,0.0
N1,6,4,0.0
N1,6,5,0.0
N1,6,6,0.0
N1,6,7,0.0
N1,6,8,0.0
N1,6,9,0.0
N1,6,10,0.0
N1,7,1,0.0
N1,7,2,0.0
N1,7,3,0.0
N1,7,4,0.0
N1,7,5,0.0
N1,7,6,0.0
N1,7,7,0.0
N1,7,8,0.0
N1,7,9,0.0
N1,7,10,0.0
N1,8,1,0.0
N1,8,2,0.0
N1,8,3,0.0
N1,8,4,0.0
N1,8,5,0.0
N1,8,6,0.0
N1,8,7,0.0
N1,8,8,0.0
N1,8,9,0.0
N1,8,10,0.0
N1,9,1,0.0
N1,9,2,0.0
N1,9,3,0.0
N1,9,4,0.0
N1,9,5,0.0
N1,9,6,0.0
N1,9,7,0.0
N1,9,8,0.0
N1,9,9,0.0
N1,9,10,0.0
N1,10,1,0.0
N1,10,2,0.0
N1,10,3,0.0
N1,10,4,0.0
N1,10,5,0.0
N1,10,6,0.0
N1,10,7,0.0
N1,10,8,0.0
N1,10,9,0.0
N1,10,10,0.0
N2,1,1,0.0
N2,1,2,0.0
N2,1,3,0.0
N2,1,4,0.0
N2,1,5,0.0
N2,1,6,0.0
N2,1,7,0.0
N2,1,8,0.0
N2,1,9,0.0
N2,1,10,0.0
N2,2,1,0.0
N2,2,2,0.0
N2,2,3,0.0
N2,2,4,0.0
N2,2,5,0.0
N2,2,6,0.0
N2,2,7,0.0
