horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,num_valid_points
3,70.94174065388424,83.34099976842192,-1.7498447100561463,0.08180368319421319,0.07760873614698571,9493.287434895834,9493.287434895834,9493.287434895834,71.0
6,78.78758314439467,90.98640401652071,-1.9928363703919718,0.09008149391851637,0.08515308820673159,10550.966796875,10550.966796875,10550.966796875,143.0
10,96.52595986082963,109.03778840062813,-2.6569439313817593,0.10912728288026166,0.10222202580076774,12930.319661458334,12930.319661458334,12930.319661458334,239.0
