node_index,site_weight,ema_node_loss
0,1.1488335132598877,0.15454325079917908
1,0.8416206240653992,0.11321639269590378
2,1.1069564819335938,0.14890988171100616
3,1.1718273162841797,0.15763641893863678
4,1.1862679719924927,0.15957900881767273
5,1.1716952323913574,0.1576186567544937
6,1.005147099494934,0.13521428406238556
7,1.077460765838623,0.14494206011295319
8,1.1542960405349731,0.15527808666229248
9,1.0401875972747803,0.13992799818515778
10,1.1337213516235352,0.15251033008098602
11,1.1724209785461426,0.1577162742614746
12,1.1054695844650269,0.14870984852313995
13,1.1518720388412476,0.1549520045518875
14,1.0986552238464355,0.14779317378997803
15,0.9640057682991028,0.129679873585701
16,0.9724999070167542,0.13082252442836761
17,0.9502403140068054,0.12782812118530273
18,1.029392123222351,0.13847577571868896
19,0.9088318347930908,0.1222577691078186
20,0.9726247787475586,0.13083931803703308
21,1.2693077325820923,0.17074966430664062
22,1.2369898557662964,0.166402205824852
23,1.0111161470413208,0.13601724803447723
24,1.1470372676849365,0.15430161356925964
25,1.1075735092163086,0.1489928811788559
26,1.1647586822509766,0.15668553113937378
27,1.0820645093917847,0.1455613672733307
28,1.1501606702804565,0.15472178161144257
29,1.0592082738876343,0.14248669147491455
30,1.1848386526107788,0.15938672423362732
31,1.0980191230773926,0.14770759642124176
32,1.1370935440063477,0.15296396613121033
33,1.1157145500183105,0.15008802711963654
34,1.1377261877059937,0.1530490666627884
35,1.0982108116149902,0.1477333903312683
36,1.0194133520126343,0.1371334046125412
37,1.090396761894226,0.1466822326183319
38,1.1505658626556396,0.15477629005908966
39,1.039360523223877,0.13981673121452332
40,1.034406065940857,0.13915026187896729
41,1.0106455087661743,0.13595394790172577
42,0.8691084384918213,0.11691410839557648
43,1.0491106510162354,0.14112834632396698
44,1.10853910446167,0.14912277460098267
45,1.056975245475769,0.14218629896640778
46,1.043257713317871,0.14034099876880646
47,0.9283667206764221,0.12488564103841782
48,1.085640549659729,0.14604242146015167
49,1.0947130918502808,0.14726287126541138
50,1.0602222681045532,0.14262309670448303
51,1.059043049812317,0.14246447384357452
52,0.9951621890068054,0.13387109339237213
53,0.9773049354553223,0.13146890699863434
54,1.0488016605377197,0.14108677208423615
55,0.9761694669723511,0.1313161551952362
56,0.9627473950386047,0.12951059639453888
57,1.0560474395751953,0.1420614868402481
58,1.0139316320419312,0.13639599084854126
59,1.1409187316894531,0.15347853302955627
60,1.0500644445419312,0.141256645321846
61,1.0597196817398071,0.14255549013614655
62,1.0245031118392944,0.1378180980682373
63,0.9076788425445557,0.12210267037153244
64,0.9077394604682922,0.12211082875728607
65,0.9705018401145935,0.130553737282753
66,0.9211156964302063,0.12391021847724915
67,0.9442809224128723,0.12702645361423492
68,1.1624342203140259,0.15637284517288208
69,1.1161479949951172,0.15014633536338806
70,1.0256400108337402,0.13797102868556976
71,1.0505743026733398,0.1413252353668213
72,0.9601607918739319,0.12916263937950134
73,1.0415595769882202,0.14011256396770477
74,1.019943356513977,0.13720470666885376
75,0.9163841009140015,0.12327371537685394
76,0.9523099660873413,0.12810653448104858
77,0.9195722937583923,0.12370260059833527
78,0.9539728760719299,0.12833023071289062
79,1.0283052921295166,0.13832956552505493
80,0.9604647159576416,0.12920352816581726
81,0.9409264326095581,0.12657520174980164
82,1.0212223529815674,0.13737675547599792
83,0.9380733370780945,0.1261913925409317
84,0.8779830932617188,0.11810794472694397
85,0.9122986793518066,0.12272413820028305
86,0.8472673892974854,0.11397600919008255
87,1.0285650491714478,0.1383645087480545
88,0.9170395135879517,0.12336188554763794
89,0.8956351280212402,0.12048252671957016
90,0.9184702634811401,0.12355434894561768
91,0.7309914827346802,0.09833435714244843
92,0.8033493757247925,0.1080680713057518
93,0.7044000029563904,0.09475721418857574
94,1.0036876201629639,0.13501794636249542
95,0.8320168256759644,0.11192446947097778
96,0.8159103393554688,0.10975779592990875
97,0.9882541298866272,0.1329418122768402
98,0.8466362357139587,0.1138911023736
99,0.8165093064308167,0.10983837395906448
100,0.9692615270614624,0.13038688898086548
101,0.9777559041976929,0.1315295696258545
102,0.9360127449035645,0.12591420114040375
103,1.0047794580459595,0.13516482710838318
104,0.9824697971343994,0.13216368854045868
105,0.942247748374939,0.12675294280052185
106,0.9609173536300659,0.12926441431045532
107,1.0550365447998047,0.14192551374435425
108,0.9253159165382385,0.12447524070739746
109,0.9375596642494202,0.12612229585647583
110,0.9923677444458008,0.13349518179893494
111,0.8908543586730957,0.11983940750360489
112,0.9012824892997742,0.1212422177195549
113,0.9781072735786438,0.13157683610916138
114,0.7713867425918579,0.10376840084791183
115,0.810522198677063,0.10903297364711761
116,0.7933077216148376,0.10671725124120712
117,1.2744711637496948,0.17144426703453064
118,0.9977343678474426,0.13421711325645447
119,0.8391554355621338,0.1128847748041153
120,0.9741542935371399,0.13104507327079773
121,0.8438016176223755,0.11350978910923004
122,1.0156835317611694,0.13663166761398315
123,0.7856201529502869,0.1056831032037735
124,0.9066947102546692,0.1219702810049057
125,0.9358537793159485,0.12589281797409058
126,0.9662100076675415,0.12997639179229736
127,0.8725290894508362,0.11737425625324249
128,0.9878129363059998,0.13288246095180511
129,0.9231339693069458,0.12418172508478165
130,0.9585070610046387,0.1289401799440384
131,0.9640811681747437,0.129690021276474
132,1.0296345949172974,0.1385083943605423
133,0.9287471175193787,0.12493681162595749
