epoch,train_loss,val_loss,val_MAE_H3,val_RMSE_H3,val_R2_H3,val_Score_H3,val_MAE_H6,val_RMSE_H6,val_R2_H6,val_Score_H6,val_MAE_H10,val_RMSE_H10,val_R2_H10,val_Score_H10,val_score_primary,is_best_epoch,bad_epochs,learning_rate,epoch_time_sec,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches_epoch,skipped_val_batches_epoch,skipped_train_batches_total,skipped_val_batches_total,skipped_batches_total_run,val_official_score_h10,val_official_score_h3,val_official_score_h6
1,0.6055183207704907,0.4592317081804346,187.7906814856808,255.4791933144145,0.5046522676696166,25.197116317605843,195.49768959190732,266.63680974480746,0.4593910673280017,26.130689605291654,203.33494402827586,277.93938011722196,0.41138220670341097,27.003181360281424,27.003181360281424,True,0,0.001,3415.970903200039,0.6055183207704907,,,,,,,,,,9,20,9,20,29,27.003181360281424,25.197116317605843,26.130689605291654
2,0.5176682816374869,0.3488739593037097,177.11984873150212,251.44294280002592,0.5201803732907444,18.118859748600997,183.50184549643225,263.9282597607146,0.4703185095104486,19.180708355759148,190.80489838471442,276.7449531548358,0.4164304318414057,20.36454867047703,20.36454867047703,True,0,0.001,4678.164219700033,0.5176682816374869,,,,,,,,,,9,20,18,40,58,20.36454867047703,18.118859748600997,19.180708355759148
3,0.49044298295463834,0.3318103322841851,147.8169389944433,211.76387632206607,0.659667939611505,16.491234087473725,158.241870505307,227.52758476938584,0.6063492147854204,17.930152660092222,169.4948204142198,243.79329614459738,0.547126680591465,19.42847837735655,19.42847837735655,True,0,0.001,4746.192264299956,0.49044298295463834,,,,,,,,,,9,20,27,60,87,19.42847837735655,16.491234087473725,17.930152660092222
4,0.4690528230298133,0.31769650556110396,147.78624421948385,207.39096946523833,0.6735784743478234,15.620923729874,157.77118420661566,223.61590683928537,0.6197682346167344,17.00117732824966,169.12733983145623,241.125008185615,0.5569857174740711,18.52780104408117,18.52780104408117,True,0,0.001,3162.8706509999465,0.4690528230298133,,,,,,,,,,9,20,36,80,116,18.52780104408117,15.620923729874,17.00117732824966
5,0.4560034511344773,0.31042335245739944,147.47931920734547,206.3185992063118,0.6769454457940868,14.956268364691033,157.8295652204147,223.3963457305271,0.6205145421940559,16.415059717119057,169.57720174337237,241.54360702228496,0.5554462153426442,18.042003076690513,18.042003076690513,True,0,0.001,3182.1473490000935,0.4560034511344773,,,,,,,,,,9,20,45,100,145,18.042003076690513,14.956268364691033,16.415059717119057
6,0.44439150889714557,0.313193401092379,152.60820204186055,213.15494359698158,0.6551820022266576,15.288511193129166,162.02822247189758,230.2073969851129,0.5970217960261253,16.639646665629435,173.13960264864377,248.68171308826697,0.5287830348398348,18.198401302624095,18.198401302624095,False,1,0.001,3201.3770898000803,0.44439150889714557,,,,,,,,,,9,20,54,120,174,18.198401302624095,15.288511193129166,16.639646665629435
7,0.43956855691614605,0.30684203268235244,142.0160161413288,200.07501545452237,0.6962020597544796,14.789907457476168,153.22377352997296,218.79909926031317,0.6359726047761,16.241824110165787,165.92356911493013,238.93849870908798,0.5649837519964644,17.88119819005709,17.88119819005709,True,1,0.001,3131.3141838000156,0.43956855691614605,,,,,,,,,,9,20,63,140,203,17.88119819005709,14.789907457476168,16.241824110165787
8,0.42745474789823806,0.3061279101122923,150.2724728933374,208.88313027835187,0.668864424967827,14.658579863907203,159.8676915610601,226.08316912615263,0.611331384687391,15.992214705042649,171.0615609949929,244.6604320204469,0.5438993474305464,17.60922519354118,17.60922519354118,True,0,0.001,3650.3584742000094,0.42745474789823806,,,,,,,,,,9,20,72,160,232,17.60922519354118,14.658579863907203,15.992214705042649
9,0.42368480520589014,0.3107883169182709,143.36045557353762,205.53488730696708,0.6793950633984618,14.783051503581126,155.37863939253458,224.0118740774443,0.6184204537242469,16.316541483759377,168.85156060399666,243.5884927303009,0.5478872514954356,18.076352212844405,18.076352212844405,False,1,0.001,3170.4339847000083,0.42368480520589014,,,,,,,,,,9,20,81,180,261,18.076352212844405,14.783051503581126,16.316541483759377
10,0.41534645976055234,0.31093011695542944,136.20554530326285,195.36842338759553,0.7103271112375947,14.795179128097509,148.60625391446928,214.40195130469266,0.6504571074662745,16.364293298624858,162.7200500522631,234.94571241824795,0.5794009718724188,18.148059058772308,18.148059058772308,False,2,0.001,3190.0914079999784,0.41534645976055234,,,,,,,,,,9,20,90,200,290,18.148059058772308,14.795179128097509,16.364293298624858
11,0.41024861931800843,0.32271081939559854,143.06348133740678,204.21736113266903,0.6834921930191107,15.543413777571125,155.5142771940701,222.5022153913019,0.6235461981258594,17.067843691233126,169.5186185874873,242.2938578059769,0.552680298182661,18.822613760280923,18.822613760280923,False,3,0.001,3114.6335223000497,0.41024861931800843,,,,,,,,,,9,20,99,220,319,18.822613760280923,15.543413777571125,17.067843691233126
