horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,44.743,55.323,-0.212,0.050,0.050,6.454,6.454,6.454,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,45.602,56.843,-0.168,0.051,0.050,6.580,6.580,6.580,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,51.487,64.271,-0.271,0.056,0.055,7.443,7.443,7.443,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
