horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,50.478,58.016,-0.333,0.057,0.055,6.938,6.938,6.938,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,61.294,70.642,-0.804,0.069,0.066,8.440,8.440,8.440,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,77.784,89.056,-1.439,0.087,0.082,10.798,10.798,10.798,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
