batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.39468759298324585,0.2710769772529602,0.3342354893684387
0,2,0.3917168080806732,0.29715943336486816,0.311123788356781
0,3,0.39865821599960327,0.2559540271759033,0.3453877866268158
0,4,0.32883310317993164,0.4046035408973694,0.26656341552734375
0,5,0.4040163457393646,0.31788498163223267,0.2780987322330475
0,6,0.34769687056541443,0.3617395758628845,0.29056358337402344
0,7,0.33638274669647217,0.4128970503807068,0.25072020292282104
0,8,0.33278390765190125,0.33373063802719116,0.33348548412323
0,9,0.37099331617355347,0.3035973906517029,0.32540932297706604
0,10,0.38473671674728394,0.30845725536346436,0.3068060874938965
