batch,horizon,fine_history_attention_entropy,coarse_history_attention_entropy,macro_attention_entropy,fine_effective_history_steps,coarse_effective_history_steps,fine_expected_lag,coarse_expected_lag,fine_context_norm,coarse_context_norm,macro_context_norm
0,1,2.483764171600342,2.483593702316284,1.3766953945159912,11.986297607421875,11.984254837036133,5.629202842712402,5.4149017333984375,2.4186644554138184,2.1918423175811768,0.9706436395645142
0,2,2.481766700744629,2.483356237411499,1.3707053661346436,11.962380409240723,11.981410026550293,5.723315238952637,5.443292140960693,2.4155774116516113,2.199380397796631,1.048305630683899
0,3,2.4830145835876465,2.483398914337158,1.3734325170516968,11.977316856384277,11.981921195983887,5.664904594421387,5.3962602615356445,2.417179584503174,2.187614917755127,1.0713374614715576
0,4,2.481491804122925,2.483363628387451,1.365736961364746,11.959092140197754,11.981497764587402,5.7591753005981445,5.435899257659912,2.4047412872314453,2.198615550994873,0.9862691164016724
0,5,2.482044219970703,2.4825587272644043,1.3737783432006836,11.965700149536133,11.971858024597168,5.721464157104492,5.353998184204102,2.4146761894226074,2.1938414573669434,1.070828914642334
0,6,2.481363534927368,2.48315167427063,1.3733208179473877,11.957557678222656,11.978959083557129,5.74390983581543,5.4169416427612305,2.4076762199401855,2.198420524597168,0.9683887362480164
0,7,2.4811651706695557,2.4834659099578857,1.370560646057129,11.95518684387207,11.9827241897583,5.774226188659668,5.536269664764404,2.4129409790039062,2.204890727996826,1.0261454582214355
0,8,2.48160982131958,2.483689785003662,1.3695924282073975,11.960503578186035,11.985405921936035,5.720165252685547,5.492516994476318,2.4199862480163574,2.1937215328216553,1.0478955507278442
0,9,2.4814200401306152,2.4836676120758057,1.3722338676452637,11.958232879638672,11.985140800476074,5.735259056091309,5.569293022155762,2.423116683959961,2.201979875564575,1.0001217126846313
0,10,2.4832582473754883,2.4822680950164795,1.3675830364227295,11.980236053466797,11.968379020690918,5.636813163757324,5.319195747375488,2.419719934463501,2.1822078227996826,1.0103917121887207
