horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,38.488,46.868,0.008,0.043,0.043,5.494,5.494,5.494,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,False
6,44.996,55.036,-0.191,0.050,0.049,6.434,6.434,6.434,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,False
10,67.882,82.733,-1.320,0.075,0.072,9.758,9.758,9.758,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,False
