epoch,granularity_loss_h3,granularity_weight_h3,granularity_loss_h6,granularity_weight_h6,granularity_loss_h10,granularity_weight_h10,site_weight_mean,site_weight_min,site_weight_max,total_loss
1,0.18097297985409722,1.1144697172301157,0.19871916557755767,1.1135006126903353,0.2218738222406024,1.1131066055524916,1.0000939130783082,0.7111086252189818,1.3610067742211478,0.15993349746401822
2,0.10604895534590957,1.3870389961061023,0.1299222138260255,1.3833989415849959,0.15795324916640918,1.3812135861033485,1.0000798724946522,0.6901993331455049,1.343795827456883,-0.10958132962917998
3,0.09143926838689158,1.7148144949050177,0.11681245090038868,1.7055927055222648,0.1460421422496438,1.6965862171990531,1.0000945999508812,0.6972191413243611,1.3639364554768516,-0.30177995888959797
4,0.08626986006230258,2.109311086223239,0.11184199170418904,2.089829769020989,0.141675842659814,2.066391292640141,1.0000997580233075,0.6966915476889838,1.3633005295481,-0.4699887667738256
5,0.08290104533247115,2.5795329207465763,0.10852599530770447,2.542073046593439,0.13843558015567917,2.493573774610247,1.0000963767369588,0.6951706312951588,1.371724233740852,-0.6235478070875009
6,0.08065901546066172,3.1348902668271745,0.10627893847747567,3.0667523270561583,0.13618347117943422,2.9766687143416632,1.0000880862985337,0.6963633372670128,1.3716423187937055,-0.7609648068391142
7,0.07946944775496516,3.7823652369635448,0.10513173091853635,3.664324534507025,0.13506566616928295,3.5086218368439446,1.0000883224464598,0.7000189630758195,1.3734122622580756,-0.8795364756314528
8,0.07744829954677507,4.526828320821126,0.10312590807783262,4.330237607728868,0.13300471913424275,4.0790830475943425,1.0000948590891703,0.6989330663567498,1.3677654816990807,-0.9861919501175483
9,0.07659539454237839,5.365605456488473,0.10198063191258167,5.052599475497291,0.13163131914500678,4.6694992201668875,1.0000825203600383,0.6986962599413735,1.3774644005866277,-1.0728192627962148
10,0.07588927387193059,6.282584399268741,0.10116609454190617,5.805168976102556,0.13065945151306335,5.250177692231678,1.0000899993237995,0.7014454228537423,1.3718649813107082,-1.141616299535547
11,0.07561784748736608,7.253159257343837,0.10078369974911783,6.55660320009504,0.12996318400615736,5.795972474416097,1.0000641882419585,0.70172615477017,1.3679058739117214,-1.1927850132896787
12,0.07449335538955967,8.264959927967617,0.09958407330955045,7.29191723551069,0.12862928494633663,6.299310634249733,1.000074777716682,0.699792339404424,1.373722431773231,-1.236548638485727
13,0.07369341416079461,9.27558722723098,0.09859453549867041,7.976318107332502,0.12728203549271538,6.7364407176063175,1.0000692449864887,0.7008370791162764,1.3782302856445312,-1.2688543343473049
14,0.07167907108655244,10.257309341430664,0.09666897412211273,8.590149134681338,0.12530615769681477,7.114943926674979,1.0000943166869027,0.7008497785954249,1.3919081926345824,-1.3029967274694216
15,0.0705596102740277,11.178738680339995,0.09536051226147053,9.124407427651542,0.12370426569666182,7.424515821820214,1.0000836446171715,0.6976054239840734,1.394705629348755,-1.326078712159679
16,0.06917884853628406,12.01053245181129,0.09357762287713979,9.5827334631057,0.12140356137284211,7.690849871862502,1.0000908272606985,0.6983207603295644,1.4093893686930339,-1.3506826985982203
17,0.06799282595675671,12.770076043265206,0.0922405248391999,9.99238442012242,0.11968372833604614,7.942405628022693,1.000088302578245,0.697587677126839,1.422950721922375,-1.3698649033194497
18,0.06770664134896115,13.3852307955424,0.09174958808106955,10.314817237854005,0.11891335137188434,8.13346905027117,1.0000855797813053,0.7004452702544984,1.4188245262418475,-1.3774381002499945
19,0.06761864334362688,13.879104305448987,0.09129335044139025,10.571475982666016,0.11820727541510548,8.297123141515822,1.0000827167715345,0.6962851359730675,1.4280492845035735,-1.3832223493073668
20,0.06727372867425092,14.283511152721587,0.09032515884247835,10.791879081726075,0.11677024460264615,8.45214474995931,1.000092575663612,0.6972457794916063,1.439482661655971,-1.393541060530004
