variant_id,graph,edge_count_without_self,distance_min,distance_median,distance_mean,distance_max,interpretation
G0,macro,1715,406.61614106035626,1426.7909864911956,2542.3963907889206,11877.043915148559,statistical_or_geographic_association_not_causality
G0,micro,984,406.61614106035626,967.6117216709831,1524.5772763974226,11877.043915148559,statistical_or_geographic_association_not_causality
G1,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G1,micro,55,448.9761485488697,1424.02129834928,1398.0359242279262,3325.9988993115876,statistical_or_geographic_association_not_causality
G2,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G2,micro,55,448.9761485488697,1424.02129834928,1398.0359242279262,3325.9988993115876,statistical_or_geographic_association_not_causality
G3,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G3,micro,55,448.9761485488697,1424.02129834928,1398.0359242279262,3325.9988993115876,statistical_or_geographic_association_not_causality
G4,macro,40,448.9761485488697,951.7407145699849,1050.394920947802,2401.652598236888,statistical_or_geographic_association_not_causality
G4,micro,40,448.9761485488697,951.7407145699849,1050.394920947802,2401.652598236888,statistical_or_geographic_association_not_causality
G5,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G5,micro,40,448.9761485488697,1437.3412904430818,1526.5050253185887,3325.9988993115876,statistical_or_geographic_association_not_causality
G6,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G6,micro,55,448.9761485488697,1424.02129834928,1398.0359242279262,3325.9988993115876,statistical_or_geographic_association_not_causality
G7,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G7,micro,55,448.9761485488697,1424.02129834928,1398.0359242279262,3325.9988993115876,statistical_or_geographic_association_not_causality
G8,macro,56,448.9761485488697,1424.2914651474011,1432.4638344972773,3325.9988993115876,statistical_or_geographic_association_not_causality
G8,micro,55,448.9761485488697,1424.5616319455223,1441.6916851256865,3325.9988993115876,statistical_or_geographic_association_not_causality
