variant_id,macro_edge_count,micro_edge_count,support_jaccard
G0,1715,984,0.4295550847457627
G1,56,55,0.9821428571428571
G2,56,55,0.9821428571428571
G3,56,55,0.9821428571428571
G4,40,40,1.0
G5,56,40,0.7142857142857143
G6,56,55,0.9821428571428571
G7,56,55,0.9821428571428571
G8,56,55,0.9821428571428571
