variant_id,epoch,source,train_loss,val_loss,total_loss,site_loss,skipped_all_invalid_batches
L0,1,smoke_only,0.2727673412723975,0.28637662529945374,0.2727673412723975,0.2736289883879098,0
L1,1,smoke_only,0.2708710310134021,0.34882041811943054,0.2708710310134021,0.2747252549637448,0
L2,1,smoke_only,0.3301086737350984,0.35402360558509827,0.3301086737350984,0.28673065216703847,0
L4,1,smoke_only,0.2702832536941225,0.32523080706596375,0.2702832536941225,0.2733101739802144,0
L5,1,smoke_only,0.2625984014435248,0.3325718343257904,0.2625984014435248,0.27429117634892464,0
L6,1,smoke_only,0.27041891386563127,0.34673944115638733,0.27041891386563127,0.2743595452471213,0
