a0_mae,a0_rmse,a0_score,a0_win_rate,a1_mae,a1_rmse,a1_score,coarse_gate_mean,decile,delta_direction,delta_mae_a1_minus_a0,delta_rmse_a1_minus_a0,delta_score_a1_minus_a0,fine_gate_mean,fine_gate_recent6_mean,fine_gate_std,horizon,num_valid_points,num_windows,score_lower_is_better,volatility_max,volatility_mean,volatility_min
53.19197546611519,78.37113439859668,3.7769158486862615,0.639921722113503,53.84707909888602,77.99819492228286,4.04878060674737,0.5145007371902466,D1,positive_means_A0_better,0.6551036327708317,-0.3729394763138174,0.2718647580611089,0.4854992628097534,0.4980393648147583,0.007967982441186905,3,63710,511,True,-0.26972031593322754,-0.3336251185598205,-0.398157000541687
66.62334245802198,97.1274044390984,5.617323035428967,0.6536203522504892,67.48723089169864,96.7931923504856,6.197939984545039,0.5145007371902466,D1,positive_means_A0_better,0.8638884336766637,-0.3342120886128015,0.580616949116072,0.4854992628097534,0.4980393648147583,0.007967982441186905,6,133037,511,True,-0.26972031593322754,-0.3336251185598205,-0.398157000541687
79.87162003241032,115.24354311726701,7.9881180105620615,0.6712328767123288,81.41294579923013,115.66277952841584,8.597254649689027,0.5145007371902466,D1,positive_means_A0_better,1.54132576681981,0.41923641114883026,0.6091366391269659,0.4854992628097534,0.4980393648147583,0.007967982441186905,10,234327,511,True,-0.26972031593322754,-0.3336251185598205,-0.398157000541687
56.75841976925013,80.42448044887338,5.430906673652233,0.44901960784313727,54.21593214685809,78.49126147942656,5.281495633346487,0.4988292455673218,D2,positive_means_A0_better,-2.542487622392045,-1.933218969446827,-0.14941104030574603,0.5011707544326782,0.5164147615432739,0.0022609448060393333,3,108856,510,True,-0.23046579957008362,-0.24881356434494842,-0.26968497037887573
69.44859454182757,101.07032999071832,7.109193920504576,0.5019607843137255,67.24052134793664,100.82991911536368,7.141805693996704,0.4988292455673218,D2,positive_means_A0_better,-2.2080731938909395,-0.240410875354641,0.03261177349212829,0.5011707544326782,0.5164147615432739,0.0022609448060393333,6,222533,510,True,-0.23046579957008362,-0.24881356434494842,-0.26968497037887573
84.73308197242098,122.97492395163633,9.27746320155069,0.4764705882352941,82.1700344372118,122.85442877804893,9.252791372664618,0.4988292455673218,D2,positive_means_A0_better,-2.5630475352091793,-0.12049517358740047,-0.024671828886072333,0.5011707544326782,0.5164147615432739,0.0022609448060393333,10,379274,510,True,-0.23046579957008362,-0.24881356434494842,-0.26968497037887573
55.51407455735442,78.29153083934072,5.193012177204296,0.49902152641878667,55.33014182361726,78.34993544827378,5.1476648743847235,0.4927273988723755,D3,positive_means_A0_better,-0.18393273373715857,0.058404608933059876,-0.045347302819572555,0.5072726011276245,0.5176752209663391,0.0020193762611597776,3,110635,511,True,-0.1971852034330368,-0.21458188682036392,-0.2303490936756134
67.728373135557,97.52424762780859,6.58436382886492,0.5831702544031311,68.50257690338084,98.40272889680193,6.755870694331949,0.4927273988723755,D3,positive_means_A0_better,0.7742037678238347,0.8784812689933403,0.17150686546702865,0.5072726011276245,0.5176752209663391,0.0020193762611597776,6,220446,511,True,-0.1971852034330368,-0.21458188682036392,-0.2303490936756134
81.73973071081923,118.44976328677598,8.409760860310678,0.5851272015655578,83.64305977686557,121.72756120940515,8.769825089525973,0.4927273988723755,D3,positive_means_A0_better,1.9033290660463393,3.2777979226291762,0.36006422921529513,0.5072726011276245,0.5176752209663391,0.0020193762611597776,10,367490,511,True,-0.1971852034330368,-0.21458188682036392,-0.2303490936756134
61.499192252486225,94.28605786842917,5.164744345708662,0.4627450980392157,62.40576436596211,98.059596614847,5.2449698315890805,0.4850006699562073,D4,positive_means_A0_better,0.9065721134758888,3.7735387464178274,0.08022548588041811,0.5149993300437927,0.517098605632782,0.002510943915694952,3,103182,510,True,-0.15498608350753784,-0.17408575503265156,-0.1970938742160797
72.7008368819784,111.40212029338753,6.401935279414631,0.611764705882353,73.12472349967359,113.34757399961998,6.58479269522647,0.4850006699562073,D4,positive_means_A0_better,0.42388661769518876,1.9454537062324562,0.18285741581183945,0.5149993300437927,0.517098605632782,0.002510943915694952,6,206414,510,True,-0.15498608350753784,-0.17408575503265156,-0.1970938742160797
87.75076081288923,131.96012890095844,8.179081953188698,0.5666666666666667,87.45013260498973,132.40329417331589,8.407280528811537,0.4850006699562073,D4,positive_means_A0_better,-0.30062820789949285,0.4431652723574473,0.22819857562283907,0.5149993300437927,0.517098605632782,0.002510943915694952,10,343986,510,True,-0.15498608350753784,-0.17408575503265156,-0.1970938742160797
83.39497307882267,125.97129481759613,8.333059371272938,0.4235294117647059,78.73249443193781,123.04449406044805,7.921608712380723,0.4756443202495575,D5,positive_means_A0_better,-4.662478646884864,-2.9268007571480865,-0.4114506588922149,0.5243556499481201,0.5331985950469971,0.003461385378614068,3,131057,510,True,-0.09413351118564606,-0.12089141171936896,-0.15485376119613647
98.12872737175822,149.60366398886256,10.122188978013186,0.5137254901960784,94.93633025377868,150.31308048504212,9.996116047080845,0.4756443202495575,D5,positive_means_A0_better,-3.1923971179795387,0.709416496179557,-0.12607293093234162,0.5243556499481201,0.5331985950469971,0.003461385378614068,6,261328,510,True,-0.09413351118564606,-0.12089141171936896,-0.15485376119613647
113.28516733618721,173.63138275118084,12.170924772811112,0.4803921568627451,110.83988455063044,175.84836831509156,12.14704938990133,0.4756443202495575,D5,positive_means_A0_better,-2.4452827855567705,2.2169855639107254,-0.023875382909782417,0.5243556499481201,0.5331985950469971,0.003461385378614068,10,433650,510,True,-0.09413351118564606,-0.12089141171936896,-0.15485376119613647
77.31905052432204,121.65267560553153,8.316541586800273,0.4794520547945205,76.14020328522203,122.31170367982466,8.173479609322978,0.46588432788848877,D6,positive_means_A0_better,-1.1788472391000084,0.6590280742931327,-0.143061977477295,0.5341156721115112,0.5374845266342163,0.003064073622226715,3,129557,511,True,-0.04186224192380905,-0.06677071212147546,-0.09397315979003906
