a0_mae,a0_rmse,a0_score,a0_win_rate,a1_mae,a1_rmse,a1_score,delta_direction,delta_mae_a1_minus_a0,delta_rmse_a1_minus_a0,delta_score_a1_minus_a0,group_definition,horizon,num_valid_points,num_windows,score_lower_is_better,sensitivity_only,threshold
,,,,,,,positive_means_A0_better,,,,train_q90_volatility,3,0,0,True,False,0.5083455500282054
,,,,,,,positive_means_A0_better,,,,train_q90_volatility,6,0,0,True,False,0.5083455500282054
,,,,,,,positive_means_A0_better,,,,train_q90_volatility,10,0,0,True,False,0.5083455500282054
106.28257110136862,149.56825065017716,13.420199568116736,0.3679060665362035,99.37881988074128,142.29668245782466,12.715413441626772,positive_means_A0_better,-6.903751220627342,-7.271568192352504,-0.7047861264899637,test_top10_volatility,3,167604,511,True,True,0.22187057882547373
126.68585996736527,175.60383628282105,16.319340006764392,0.37377690802348335,118.59501587381222,166.16510133923674,15.51454789756407,positive_means_A0_better,-8.09084409355306,-9.438734943584308,-0.8047921092003225,test_top10_volatility,6,332830,511,True,True,0.22187057882547373
143.44814903653744,194.380669754241,18.68061948109091,0.3835616438356164,135.03214768493132,184.48792435613913,17.878217923997024,positive_means_A0_better,-8.416001351606127,-9.89274539810188,-0.8024015570938872,test_top10_volatility,10,550481,511,True,True,0.22187057882547373
