batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.2819057106971741,0.35226449370384216,0.3658298850059509
0,2,0.3125019073486328,0.37974947690963745,0.3077486753463745
0,3,0.3158000409603119,0.42996788024902344,0.25423210859298706
0,4,0.34918901324272156,0.44705820083618164,0.203752800822258
0,5,0.33790725469589233,0.2599816918373108,0.40211111307144165
0,6,0.26466304063796997,0.44623494148254395,0.28910207748413086
0,7,0.23240700364112854,0.46268200874328613,0.3049110174179077
0,8,0.2791486978530884,0.5096806287765503,0.2111707180738449
0,9,0.32921457290649414,0.39481520652770996,0.2759702503681183
0,10,0.23390528559684753,0.4594876766204834,0.30660703778266907
