batch,horizon,fine_history_attention_entropy,coarse_history_attention_entropy,macro_attention_entropy,fine_effective_history_steps,coarse_effective_history_steps,fine_expected_lag,coarse_expected_lag,fine_context_norm,coarse_context_norm,macro_context_norm
0,1,2.483896493911743,2.482564687728882,1.3507840633392334,11.987884521484375,11.971929550170898,5.625443458557129,5.45851469039917,1.2094197273254395,1.0515837669372559,0.6091774702072144
0,2,2.483811855316162,2.4811666011810303,1.3241994380950928,11.986869812011719,11.95520305633545,5.63265323638916,5.361197471618652,1.2101575136184692,1.0583195686340332,0.6304523944854736
0,3,2.484071731567383,2.4818215370178223,1.3597838878631592,11.989985466003418,11.963035583496094,5.587996482849121,5.367049217224121,1.2087547779083252,1.0518441200256348,0.7025768756866455
0,4,2.4836859703063965,2.4833388328552246,1.3694089651107788,11.985361099243164,11.981201171875,5.647473335266113,5.500415325164795,1.214348554611206,1.0555975437164307,0.6658385992050171
0,5,2.484489917755127,2.482513427734375,1.3391774892807007,11.995000839233398,11.97131633758545,5.526485443115234,5.40394401550293,1.2059916257858276,1.0519633293151855,0.5839909315109253
0,6,2.482931137084961,2.48330020904541,1.352604866027832,11.976317405700684,11.980737686157227,5.685235023498535,5.500550746917725,1.2134363651275635,1.055132269859314,0.6102392077445984
0,7,2.4839091300964355,2.481386423110962,1.3686473369598389,11.988036155700684,11.957831382751465,5.5988054275512695,5.395814418792725,1.2068426609039307,1.0436773300170898,0.730547308921814
0,8,2.483537197113037,2.4835195541381836,1.358682632446289,11.9835786819458,11.983366012573242,5.643732070922852,5.482994079589844,1.21364164352417,1.0610260963439941,0.5756146907806396
0,9,2.4837987422943115,2.4830071926116943,1.3703750371932983,11.986712455749512,11.977228164672852,5.613802909851074,5.5138444900512695,1.2115975618362427,1.0534708499908447,0.6540749073028564
0,10,2.484462261199951,2.48284912109375,1.3394297361373901,11.994668960571289,11.975335121154785,5.541571617126465,5.449487686157227,1.2098225355148315,1.0546982288360596,0.6048438549041748
