batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.08031409233808517,0.4582809805870056,0.46140503883361816
0,2,0.15085825324058533,0.5245311856269836,0.3246105909347534
0,3,0.10565920919179916,0.5268568396568298,0.3674839735031128
0,4,0.12228962033987045,0.5403680801391602,0.3373423218727112
0,5,0.11979387700557709,0.5401691198348999,0.3400370478630066
0,6,0.10792567580938339,0.5057471990585327,0.38632720708847046
0,7,0.10679759085178375,0.4092507064342499,0.48395174741744995
0,8,0.13551661372184753,0.5462095141410828,0.3182739019393921
0,9,0.18190400302410126,0.4922719895839691,0.3258240818977356
0,10,0.15106624364852905,0.5751988887786865,0.2737349271774292
