batch,macro_prompt_norm_mean,st_prompt_norm_mean
0,7.284560203552246,5.988397598266602
1,7.2573323249816895,5.988397598266602
2,7.256044387817383,5.988397598266602
3,7.251946449279785,5.988397598266602
4,7.243781089782715,5.988397598266602
5,7.260164260864258,5.988397598266602
6,7.291409492492676,5.988397598266602
7,7.289902210235596,5.988397598266602
