horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,40.399,48.096,0.050,0.046,0.046,5.710,5.710,5.710,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,39.030,47.933,0.057,0.043,0.043,5.639,5.639,5.639,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,47.917,59.370,-0.156,0.052,0.051,6.933,6.933,6.933,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
