batch,horizon,fine_history_attention_entropy,coarse_history_attention_entropy,macro_attention_entropy,fine_effective_history_steps,coarse_effective_history_steps,fine_expected_lag,coarse_expected_lag,fine_context_norm,coarse_context_norm,macro_context_norm
0,1,2.483767509460449,2.4825439453125,1.3478071689605713,11.98633861541748,11.971680641174316,5.63587760925293,5.421987056732178,1.2083525657653809,1.2012391090393066,0.6531453728675842
0,2,2.4835965633392334,2.4810147285461426,1.316622018814087,11.984289169311523,11.953388214111328,5.649930477142334,5.336650848388672,1.21007239818573,1.2056858539581299,0.681193470954895
0,3,2.48410964012146,2.4819886684417725,1.3597335815429688,11.990439414978027,11.965035438537598,5.585616111755371,5.372394561767578,1.208534598350525,1.200819730758667,0.7657173871994019
0,4,2.4836928844451904,2.483419895172119,1.3683202266693115,11.985444068908691,11.982172012329102,5.646622657775879,5.4994049072265625,1.2137656211853027,1.208040714263916,0.7001355886459351
0,5,2.484440326690674,2.482484817504883,1.333492636680603,11.994404792785645,11.970973014831543,5.536465644836426,5.385645866394043,1.2044129371643066,1.2009817361831665,0.6360298991203308
0,6,2.482646942138672,2.483454942703247,1.3533114194869995,11.972914695739746,11.98259162902832,5.702411651611328,5.484363555908203,1.213864803314209,1.2069239616394043,0.6346517205238342
0,7,2.4839348793029785,2.4815454483032227,1.3688514232635498,11.988344192504883,11.959733009338379,5.6023359298706055,5.407997131347656,1.2068800926208496,1.1951282024383545,0.8050177097320557
0,8,2.483431577682495,2.483550548553467,1.3581993579864502,11.982312202453613,11.98373794555664,5.652217388153076,5.461648464202881,1.2134439945220947,1.2111014127731323,0.622588574886322
0,9,2.4837143421173096,2.483022451400757,1.3699755668640137,11.985700607299805,11.977411270141602,5.621603965759277,5.525400161743164,1.2112147808074951,1.206875205039978,0.6876291632652283
0,10,2.4844655990600586,2.4829416275024414,1.338970422744751,11.994708061218262,11.97644329071045,5.540920257568359,5.429698944091797,1.208547592163086,1.204114556312561,0.6682039499282837
