horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,40.656,50.859,-0.024,0.046,0.045,5.687,5.687,5.687,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,49.904,62.246,-0.401,0.056,0.054,7.012,7.012,7.012,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,62.674,75.351,-0.746,0.069,0.066,8.801,8.801,8.801,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
