batch,horizon,context_weight_fine,context_weight_coarse,context_weight_macro
0,1,0.2815517485141754,0.3525364398956299,0.3659118115901947
0,2,0.31212562322616577,0.3800806999206543,0.30779367685317993
0,3,0.31540581583976746,0.4303677976131439,0.2542264461517334
0,4,0.3487531542778015,0.44748783111572266,0.2037590593099594
0,5,0.3375746011734009,0.2602226436138153,0.4022027850151062
0,6,0.2643115818500519,0.4465938210487366,0.28909462690353394
0,7,0.23207609355449677,0.46300601959228516,0.3049179017543793
0,8,0.27874964475631714,0.5100961923599243,0.21115419268608093
0,9,0.32883208990097046,0.39517924189567566,0.27598869800567627
0,10,0.23360513150691986,0.459831178188324,0.30656367540359497
