variant,name,status,run_dir,MAE,MAPE,R2,RMSE,SMAPE,Score,horizon,num_valid_points,official_align_score,physical_clip_applied,score,score_compute_unit,score_lower_is_better,total_target_count,valid_target_count,valid_target_ratio
A6,w/o Macro Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A6\STMGPrompt_ComponentAblation,95.120,1.026,0.887,140.579,0.519,9.942,6,2512061,9.942,True,9.942,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A6,w/o Macro Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A6\STMGPrompt_ComponentAblation,108.571,1.331,0.853,160.249,0.544,11.739,10,4186848,11.739,True,11.739,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A7,w/o Reverse Cross,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A7\STMGPrompt_ComponentAblation,79.808,0.903,0.916,120.761,0.445,8.145,3,1256027,8.145,True,8.145,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A7,w/o Reverse Cross,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A7\STMGPrompt_ComponentAblation,93.051,1.190,0.886,140.679,0.472,9.898,6,2512061,9.898,True,9.898,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A7,w/o Reverse Cross,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A7\STMGPrompt_ComponentAblation,107.628,1.586,0.852,160.711,0.505,11.794,10,4186848,11.794,True,11.794,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A8,w/o Cross-Fusion,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A8\STMGPrompt_ComponentAblation,78.597,1.168,0.914,122.441,0.397,8.061,3,1256027,8.061,True,8.061,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A8,w/o Cross-Fusion,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A8\STMGPrompt_ComponentAblation,93.720,1.489,0.881,143.837,0.446,10.003,6,2512061,10.003,True,10.003,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A8,w/o Cross-Fusion,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A8\STMGPrompt_ComponentAblation,109.897,1.863,0.842,165.743,0.493,12.082,10,4186848,12.082,True,12.082,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A9,w/o ST Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A9\STMGPrompt_ComponentAblation,82.137,0.729,0.919,119.119,0.543,8.308,3,1256027,8.308,True,8.308,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A9,w/o ST Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A9\STMGPrompt_ComponentAblation,94.699,1.005,0.887,140.075,0.542,10.043,6,2512061,10.043,True,10.043,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A9,w/o ST Prompt,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A9\STMGPrompt_ComponentAblation,108.667,1.424,0.852,160.503,0.549,12.038,10,4186848,12.038,True,12.038,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
A10,w/o MS-MG-DWU,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A10\STMGPrompt_ComponentAblation,79.803,0.783,0.917,120.345,0.448,8.101,3,1256027,8.101,True,8.101,MW_after_kW_to_MW_conversion,True,2051808,1256027,0.612
A10,w/o MS-MG-DWU,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A10\STMGPrompt_ComponentAblation,93.848,0.935,0.884,142.362,0.494,9.762,6,2512061,9.762,True,9.762,MW_after_kW_to_MW_conversion,True,4103616,2512061,0.612
A10,w/o MS-MG-DWU,completed,D:\PaperProject\GyxPaper2\custom_models\results\st_mgprompt_component_ablation\component_ablation_p1_seed2026\A10\STMGPrompt_ComponentAblation,108.006,1.182,0.847,163.402,0.530,11.552,10,4186848,11.552,True,11.552,MW_after_kW_to_MW_conversion,True,6839360,4186848,0.612
