valid_target_count,MAE_H10,MAE_H3,MAE_H6,R2_H10,R2_H3,R2_H6,RMSE_H10,RMSE_H3,RMSE_H6,Score_H10,Score_H3,Score_H6,TurbID,node_index
29,25.491,25.593,20.594,-0.102,-4.254,-0.466,33.077,32.516,26.981,0.029,0.027,0.022,1,0
30,26.511,44.660,30.797,-0.310,-16.645,-3.386,32.870,49.909,37.887,0.030,0.047,0.034,2,1
30,49.278,30.842,39.810,-4.655,-8.180,-11.502,54.600,35.298,44.559,0.052,0.033,0.042,3,2
30,42.705,26.580,28.253,-0.880,-1.044,-0.959,49.307,32.364,33.348,0.046,0.029,0.031,4,3
30,44.308,15.343,27.847,-0.728,-4.815,-0.448,55.206,21.663,38.344,0.050,0.018,0.033,5,4
30,64.485,42.970,48.754,-4.753,-4.227,-8.611,70.483,49.670,52.690,0.067,0.046,0.051,6,5
30,71.586,40.938,53.275,-4.904,-5.103,-8.112,78.410,45.855,59.035,0.075,0.043,0.056,7,6
30,118.768,83.253,105.683,-17.158,-21.127,-16.115,123.534,88.618,111.332,0.121,0.086,0.108,8,7
