epoch,train_loss,val_loss,total_loss,granularity_loss_h3,granularity_loss_h6,granularity_loss_h10,granularity_weight_h3,granularity_weight_h6,granularity_weight_h10,site_weight_mean,site_weight_max,site_weight_min,skipped_train_batches,skipped_val_batches,skipped_all_invalid_batches
1,0.5392289476025672,0.326172003909102,0.5392289476025672,,,,,,,,,,9,1,10
2,0.44626549219801315,0.2752653440495707,0.44626549219801315,,,,,,,,,,9,1,20
3,0.42247323734419684,0.2732232835073516,0.42247323734419684,,,,,,,,,,9,1,30
4,0.40787176873002734,0.27365521566485457,0.40787176873002734,,,,,,,,,,9,1,40
5,0.4012746789625713,0.27907696485800565,0.4012746789625713,,,,,,,,,,9,1,50
6,0.3967792217930158,0.2881724930737378,0.3967792217930158,,,,,,,,,,9,1,60
7,0.3930550742007437,0.2753737667962065,0.3930550742007437,,,,,,,,,,9,1,70
8,0.39023067688658125,0.27987384669623283,0.39023067688658125,,,,,,,,,,9,1,80
9,0.38788512632960365,0.2708924836566988,0.38788512632960365,,,,,,,,,,9,1,90
10,0.3899641594006902,0.27985392609294857,0.3899641594006902,,,,,,,,,,9,1,100
11,0.38475717607708204,0.2650575559797152,0.38475717607708204,,,,,,,,,,9,1,110
12,0.3813482634368397,0.2657471175463694,0.3813482634368397,,,,,,,,,,9,1,120
13,0.3790594633136477,0.2632699173014119,0.3790594633136477,,,,,,,,,,9,1,130
14,0.3748048402723812,0.2709756293949091,0.3748048402723812,,,,,,,,,,9,1,140
15,0.37179723683567273,0.2652290589966864,0.37179723683567273,,,,,,,,,,9,1,150
16,0.3701261878013611,0.27771699526962246,0.3701261878013611,,,,,,,,,,9,1,160
17,0.36646835992024057,0.27725441571114195,0.36646835992024057,,,,,,,,,,9,1,170
18,0.36235546771259536,0.28029890934813695,0.36235546771259536,,,,,,,,,,9,1,180
19,0.36003509958585106,0.2934065891324349,0.36003509958585106,,,,,,,,,,9,1,190
20,0.362553896045401,0.26571051157870385,0.362553896045401,,,,,,,,,,9,1,200
