variant,display_name,horizon,MAE,RMSE,R2,Score
A0,Canonical Full,3,76.33942955875908,117.75677038705155,0.9204713645191344,7.783623200734026
A0,Canonical Full,6,90.46171513146376,138.8132223588933,0.8894869334438604,9.684446283949155
A0,Canonical Full,10,105.41287395398908,159.3411440391301,0.8543832008369954,11.706390557819958
A1,w/o Spatial Graph,3,85.87967738074794,127.56604924494697,0.9066698487092509,8.552596687922987
A1,w/o Spatial Graph,6,98.38567411534402,147.45863539644495,0.8752925556114803,10.149118927576428
A1,w/o Spatial Graph,10,111.97175038372599,166.57408957517086,0.8408632387515791,11.992751897629923
A2,w/o Adaptive Graph,3,82.41692721724712,122.34237818448734,0.9141568598897714,8.392516839326268
A2,w/o Adaptive Graph,6,96.78146369258228,144.1948793398465,0.8807518543943123,10.185922283389775
A2,w/o Adaptive Graph,10,111.83473093814827,166.0972751551815,0.8417729853058576,12.08672365933792
A3,w/o Diffusion,3,80.4141367030879,120.2315697228554,0.9170934595330679,8.667672368489564
A3,w/o Diffusion,6,95.436681716849,141.6010779516188,0.8850033795964893,10.750682489077263
A3,w/o Diffusion,10,110.56446379556643,162.67658914404117,0.84822308038268,12.804321088853088
A4,Mean-Pooling Macro Prompt,3,87.20905019788103,122.98050546498504,0.9132590236495819,8.686288168116317
A4,Mean-Pooling Macro Prompt,6,100.72851391348726,144.48679314910723,0.8802685443607982,10.273729380301448
A4,Mean-Pooling Macro Prompt,10,115.02377220373323,165.8443135741673,0.8422545690886247,12.019996458418124
A5,Short-context Reverse Cross,3,85.17045994968592,123.69644728071648,0.912246143494033,8.632801404510682
A5,Short-context Reverse Cross,6,97.3863861549692,144.29936648819853,0.8805789715137016,10.251626931962743
A5,Short-context Reverse Cross,10,110.79384044345592,164.41945239404728,0.8449534834342178,12.118879182918263
A6,Early-History Macro Cross Fusion,3,82.20814262394342,120.16296134319332,0.9171880513363239,8.390117184798424
A6,Early-History Macro Cross Fusion,6,95.01996914308968,140.4145631095156,0.886922482794376,10.113822098255651
A6,Early-History Macro Cross Fusion,10,109.0069387460383,160.7691592719296,0.8517614699442431,11.957278103768038
A7,Shared-Projection Cross Fusion,3,88.2153250062636,124.10425344973805,0.911666570580872,8.865939135045293
A7,Shared-Projection Cross Fusion,6,98.79487221977995,142.75014566646448,0.883129452537973,10.273207336648829
A7,Shared-Projection Cross Fusion,10,111.33556602248989,162.03500249420836,0.8494179175663651,12.122797466479286
A8,w/o MS-MG-DWU,3,89.50451403834093,133.17619822877575,0.8982803201266027,8.884828093762186
A8,w/o MS-MG-DWU,6,101.47805400478595,152.50310676627103,0.8666142790329614,10.329835015443575
A8,w/o MS-MG-DWU,10,113.78496839750896,170.60372330285324,0.8330706782894107,11.876274868676012
