valid_target_count,MAE_H10,MAE_H3,MAE_H6,R2_H10,R2_H3,R2_H6,RMSE_H10,RMSE_H3,RMSE_H6,Score_H10,Score_H3,Score_H6,TurbID,node_index
29,42.554,56.921,40.519,-1.706,-17.102,-3.497,51.839,60.357,47.266,0.047,0.059,0.044,1,0
30,41.696,13.093,23.357,-2.319,-0.487,-1.687,52.314,14.488,29.654,0.047,0.014,0.026,2,1
30,32.283,9.686,16.317,-2.103,-0.101,-1.491,40.442,12.224,19.889,0.036,0.011,0.018,3,2
30,48.492,18.179,24.697,-1.851,-0.115,-0.770,60.729,23.902,31.699,0.055,0.019,0.028,4,3
30,52.432,7.795,25.754,-1.683,-0.212,-0.422,68.797,9.891,37.991,0.060,0.009,0.032,5,4
30,87.908,46.820,62.918,-10.438,-4.793,-15.482,99.385,52.290,68.999,0.094,0.049,0.066,6,5
30,116.349,71.017,87.503,-13.755,-14.173,-20.496,123.950,72.303,90.675,0.120,0.071,0.089,7,6
30,136.278,91.406,116.114,-22.735,-23.103,-18.994,141.238,92.491,120.330,0.139,0.092,0.118,8,7
