horizon,volatility_group,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied,gate_mean
3,low,39.458,54.743,-0.200,0.044,0.043,5.447,5.447,5.447,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,False,0.594
6,low,52.986,69.233,-0.726,0.059,0.056,7.501,7.501,7.501,48,48,1.000,48,MW_after_kW_to_MW_conversion,True,False,0.594
10,low,74.531,91.376,-1.655,0.082,0.078,10.649,10.649,10.649,80,80,1.000,80,MW_after_kW_to_MW_conversion,True,False,0.594
3,medium,39.351,51.623,-0.022,0.044,0.043,5.402,5.402,5.402,24,24,1.000,24,MW_after_kW_to_MW_conversion,True,False,0.606
6,medium,48.271,64.433,-0.510,0.054,0.052,6.950,6.950,6.950,48,48,1.000,48,MW_after_kW_to_MW_conversion,True,False,0.606
10,medium,68.667,86.770,-1.339,0.076,0.072,9.900,9.900,9.900,80,80,1.000,80,MW_after_kW_to_MW_conversion,True,False,0.606
3,high,38.576,47.241,0.051,0.044,0.043,5.428,5.428,5.428,23,24,0.958,23,MW_after_kW_to_MW_conversion,True,False,0.608
6,high,47.929,60.257,-0.379,0.054,0.052,6.736,6.736,6.736,47,48,0.979,47,MW_after_kW_to_MW_conversion,True,False,0.608
10,high,66.442,83.332,-1.139,0.074,0.070,9.504,9.504,9.504,79,80,0.988,79,MW_after_kW_to_MW_conversion,True,False,0.608
