horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,83.884,125.549,0.910,0.459,0.924,8.547,8.547,8.547,1256027,2051808,0.612,1256027,MW_after_kW_to_MW_conversion,True,True
6,96.442,143.977,0.881,0.477,1.326,10.436,10.436,10.436,2512061,4103616,0.612,2512061,MW_after_kW_to_MW_conversion,True,True
10,111.289,164.055,0.846,0.509,1.789,12.464,12.464,12.464,4186848,6839360,0.612,4186848,MW_after_kW_to_MW_conversion,True,True
