horizon,MAE,RMSE,R2,SMAPE,MAPE,official_align_score,score,Score,valid_target_count,total_target_count,valid_target_ratio,num_valid_points,score_compute_unit,score_lower_is_better,physical_clip_applied
3,28.885,36.610,0.469,0.032,0.032,4.064,4.064,4.064,71,72,0.986,71,MW_after_kW_to_MW_conversion,True,True
6,32.967,41.933,0.364,0.036,0.036,4.720,4.720,4.720,143,144,0.993,143,MW_after_kW_to_MW_conversion,True,True
10,45.699,57.692,-0.024,0.050,0.048,6.621,6.621,6.621,239,240,0.996,239,MW_after_kW_to_MW_conversion,True,True
